Program,path_to_mutant,exam_score
AddGate_h_inGap_6_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qft_5_qubits/,0.6666666666666666
AddGate_h_inGap_9_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qft_5_qubits/,0.3333333333333333
AddGate_cswap_inGap_3_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qft_5_qubits/,0.05555555555555555
AddGate_swap_inGap_3_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qft_5_qubits/,0.6111111111111112
AddGate_cswap_inGap_4_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qft_5_qubits/,0.05555555555555555
AddGate_ry_inGap_4_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qft_5_qubits/,0.3333333333333333
AddGate_swap_inGap_4_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qft_5_qubits/,0.5555555555555556
AddGate_cswap_inGap_5_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qft_5_qubits/,0.05555555555555555
AddGate_h_inGap_12_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qft_5_qubits/,0.05555555555555555
AddGate_h_inGap_7_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qft_5_qubits/,0.5555555555555556
AddGate_ry_inGap_1_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qft_5_qubits/,0.5
AddGate_h_inGap_4_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qft_5_qubits/,0.2222222222222222
AddGate_h_inGap_5_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qft_5_qubits/,0.2777777777777778
AddGate_h_inGap_8_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qft_5_qubits/,0.6111111111111112
AddGate_h_inGap_1_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qft_5_qubits/,0.3333333333333333
AddGate_swap_inGap_5_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qft_5_qubits/,0.2777777777777778
AddGate_h_inGap_10_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qft_5_qubits/,0.1111111111111111
AddGate_h_inGap_3_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qft_5_qubits/,0.2777777777777778
AddGate_h_inGap_2_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qft_5_qubits/,0.2777777777777778
AddGate_ry_inGap_5_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qft_5_qubits/,0.5
AddGate_h_inGap_11_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qft_5_qubits/,0.3333333333333333
AddGate_swap_inGap_2_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qft_5_qubits/,0.6666666666666666
