Program,best_exam_score,worst_exam_score,avg_exam_score,,,,,,,Barinel (Perfect EXAM = 0.0714),,,,,
,,,,,,Average EXAM Best-Case By Gate,Average EXAM Best-Case Overall,Median EXAM Best-Case,% Top 1 Best-Case,% Top 3 Best-Case,Average EXAM Worst-Case By Gate,Average EXAM Worst-Case Overall,Median EXAM Worst-Case,% Top 1 Worst-Case,% Top 3 Worst-Case
AddGate_ccx_inGap_3_.qasm,0.714285714,0.714285714,0.714285714,,CCX,0.571428571,0.364096081,0.285714286,0.247787611,0.442477876,0.571428571,0.364728192,0.285714286,0.238938053,0.442477876
AddGate_ccx_inGap_4_.qasm,0.571428571,0.571428571,0.571428571,,,,,,,,,,,,
AddGate_ccx_inGap_5_.qasm,0.428571429,0.428571429,0.428571429,,,,,,,,,,,,
AddGate_ccx_inGap_6_.qasm,0.428571429,0.428571429,0.428571429,,,,,,,,,,,,
AddGate_ccx_inGap_7_.qasm,0.428571429,0.428571429,0.428571429,,,,,,,,,,,,
AddGate_ccx_inGap_8_.qasm,0.928571429,0.928571429,0.928571429,,,,,,,,,,,,
AddGate_ccx_inGap_9_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_cswap_inGap_3_.qasm,0.428571429,0.428571429,0.428571429,,CSWAP,0.452380952,,,,,0.452380952,,,,
AddGate_cswap_inGap_4_.qasm,0.214285714,0.214285714,0.214285714,,,,,,,,,,,,
AddGate_cswap_inGap_5_.qasm,0.357142857,0.357142857,0.357142857,,,,,,,,,,,,
AddGate_cswap_inGap_6_.qasm,0.571428571,0.571428571,0.571428571,,,,,,,,,,,,
AddGate_cswap_inGap_7_.qasm,0.285714286,0.285714286,0.285714286,,,,,,,,,,,,
AddGate_cswap_inGap_8_.qasm,0.857142857,0.857142857,0.857142857,,,,,,,,,,,,
AddGate_cx_inGap_3_.qasm,0.428571429,0.428571429,0.428571429,,CX,0.285714286,,,,,0.285714286,,,,
AddGate_cx_inGap_4_.qasm,0.142857143,0.142857143,0.142857143,,,,,,,,,,,,
AddGate_cx_inGap_5_.qasm,0.357142857,0.357142857,0.357142857,,,,,,,,,,,,
AddGate_cx_inGap_6_.qasm,0.285714286,0.285714286,0.285714286,,,,,,,,,,,,
AddGate_cx_inGap_7_.qasm,0.357142857,0.357142857,0.357142857,,,,,,,,,,,,
AddGate_cx_inGap_8_.qasm,0.285714286,0.285714286,0.285714286,,,,,,,,,,,,
AddGate_cx_inGap_9_.qasm,0.142857143,0.142857143,0.142857143,,,,,,,,,,,,
AddGate_cz_inGap_3_.qasm,0.357142857,0.357142857,0.357142857,,CZ,0.214285714,,,,,0.214285714,,,,
