Program,best_exam_score,worst_exam_score,avg_exam_score,,,,,,,DStar (Perfect EXAM = 0.1667),,,,,
,,,,,,Average EXAM Best-Case By Gate,Average EXAM Best-Case Overall,Median EXAM Best-Case,% Top 1 Best-Case,% Top 3 Best-Case,Average EXAM Worst-Case By Gate,Average EXAM Worst-Case Overall,Median EXAM Worst-Case,% Top 1 Worst-Case,% Top 3 Worst-Case
AddGate_ccx_inGap_10_.qasm,0.166666667,0.166666667,0.166666667,,CCX,0.166666667,0.370786517,0.166666667,0.617977528,0.730337079,0.166666667,0.370786517,0.166666667,0.617977528,0.730337079
AddGate_ccx_inGap_3_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_ccx_inGap_4_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_ccx_inGap_5_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_ccx_inGap_6_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_ccx_inGap_7_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_ccx_inGap_8_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_ccx_inGap_9_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_cswap_inGap_3_.qasm,0.166666667,0.166666667,0.166666667,,CSWAP,0.166666667,,,,,0.166666667,,,,
AddGate_cswap_inGap_4_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_cswap_inGap_5_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_cx_inGap_10_.qasm,0.166666667,0.166666667,0.166666667,,CX,0.166666667,,,,,0.166666667,,,,
AddGate_cx_inGap_2_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_cx_inGap_3_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_cx_inGap_4_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_cx_inGap_5_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
