Program,best_exam_score,worst_exam_score,avg_exam_score,,,,,,,DStar (Perfect EXAM = 0.0909),,,,,
,,,,,,Average EXAM Best-Case By Gate,Average EXAM Best-Case Overall,Median EXAM Best-Case,% Top 1 Best-Case,% Top 3 Best-Case,Average EXAM Worst-Case By Gate,Average EXAM Worst-Case Overall,Median EXAM Worst-Case,% Top 1 Worst-Case,% Top 3 Worst-Case
AddGate_ccx_inGap_10_.qasm,0.090909091,0.090909091,0.090909091,,CCX,0.096969697,0.307125307,0.272727273,0.410810811,0.545945946,0.096969697,0.437346437,0.272727273,0.410810811,0.545945946
AddGate_ccx_inGap_11_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_ccx_inGap_12_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_ccx_inGap_13_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_ccx_inGap_14_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_ccx_inGap_15_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_ccx_inGap_1_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_ccx_inGap_2_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_ccx_inGap_3_.qasm,0.181818182,0.181818182,0.181818182,,,,,,,,,,,,
AddGate_ccx_inGap_4_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_ccx_inGap_5_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_ccx_inGap_6_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_ccx_inGap_7_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_ccx_inGap_8_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_ccx_inGap_9_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_cswap_inGap_10_.qasm,0.090909091,0.090909091,0.090909091,,CSWAP,0.090909091,,,,,0.090909091,,,,
AddGate_cswap_inGap_11_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_cswap_inGap_12_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_cswap_inGap_13_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_cswap_inGap_14_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_cswap_inGap_15_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_cswap_inGap_1_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_cswap_inGap_2_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
