Program,best_exam_score,worst_exam_score,avg_exam_score,,,,,,,Barinel (Perfect EXAM = 0.0052),,,,,
,,,,,,Average EXAM Best-Case By Gate,Average EXAM Best-Case Overall,Median EXAM Best-Case,% Top 1 Best-Case,% Top 3 Best-Case,Average EXAM Worst-Case By Gate,Average EXAM Worst-Case Overall,Median EXAM Worst-Case,% Top 1 Worst-Case,% Top 3 Worst-Case
AddGate_ccx_inGap_87_.qasm,0.567708333,0.567708333,0.567708333,,CCX,0.547395833,0.466325758,0.427083333,0.007272727,0.014545455,0.547395833,0.466496212,0.427083333,0.003636364,0.014545455
AddGate_ccx_inGap_88_.qasm,0.635416667,0.635416667,0.635416667,,,,,,,,,,,,
AddGate_ccx_inGap_89_.qasm,0.427083333,0.427083333,0.427083333,,,,,,,,,,,,
AddGate_ccx_inGap_90_.qasm,0.447916667,0.447916667,0.447916667,,,,,,,,,,,,
AddGate_ccx_inGap_91_.qasm,0.458333333,0.458333333,0.458333333,,,,,,,,,,,,
AddGate_ccx_inGap_92_.qasm,0.583333333,0.583333333,0.583333333,,,,,,,,,,,,
AddGate_ccx_inGap_93_.qasm,0.34375,0.34375,0.34375,,,,,,,,,,,,
AddGate_ccx_inGap_94_.qasm,0.661458333,0.661458333,0.661458333,,,,,,,,,,,,
AddGate_ccx_inGap_95_.qasm,0.651041667,0.651041667,0.651041667,,,,,,,,,,,,
AddGate_ccx_inGap_96_.qasm,0.697916667,0.697916667,0.697916667,,,,,,,,,,,,
AddGate_cx_inGap_59_.qasm,0.84375,0.84375,0.84375,,CX,0.510802469,,,,,0.510802469,,,,
AddGate_cx_inGap_60_.qasm,0.546875,0.546875,0.546875,,,,,,,,,,,,
AddGate_cx_inGap_61_.qasm,0.90625,0.90625,0.90625,,,,,,,,,,,,
AddGate_cx_inGap_62_.qasm,0.28125,0.28125,0.28125,,,,,,,,,,,,
AddGate_cx_inGap_63_.qasm,0.369791667,0.369791667,0.369791667,,,,,,,,,,,,
AddGate_cx_inGap_64_.qasm,0.807291667,0.807291667,0.807291667,,,,,,,,,,,,
