Program,best_exam_score,worst_exam_score,avg_exam_score,,,,,,,DStar (Perfect EXAM = 0.0052),,,,,
,,,,,,Average EXAM Best-Case By Gate,Average EXAM Best-Case Overall,Median EXAM Best-Case,% Top 1 Best-Case,% Top 3 Best-Case,Average EXAM Worst-Case By Gate,Average EXAM Worst-Case Overall,Median EXAM Worst-Case,% Top 1 Worst-Case,% Top 3 Worst-Case
AddGate_ccx_inGap_87_.qasm,0.46875,0.46875,0.46875,,CCX,0.490625,0.560018939,0.526041667,0,0,0.490625,0.560018939,0.526041667,0,0
AddGate_ccx_inGap_88_.qasm,0.484375,0.484375,0.484375,,,,,,,,,,,,
AddGate_ccx_inGap_89_.qasm,0.494791667,0.494791667,0.494791667,,,,,,,,,,,,
AddGate_ccx_inGap_90_.qasm,0.453125,0.453125,0.453125,,,,,,,,,,,,
AddGate_ccx_inGap_91_.qasm,0.453125,0.453125,0.453125,,,,,,,,,,,,
AddGate_ccx_inGap_92_.qasm,0.479166667,0.479166667,0.479166667,,,,,,,,,,,,
AddGate_ccx_inGap_93_.qasm,0.484375,0.484375,0.484375,,,,,,,,,,,,
AddGate_ccx_inGap_94_.qasm,0.515625,0.515625,0.515625,,,,,,,,,,,,
AddGate_ccx_inGap_95_.qasm,0.520833333,0.520833333,0.520833333,,,,,,,,,,,,
AddGate_ccx_inGap_96_.qasm,0.552083333,0.552083333,0.552083333,,,,,,,,,,,,
AddGate_cx_inGap_59_.qasm,0.307291667,0.307291667,0.307291667,,CX,0.509066358,,,,,0.509066358,,,,
AddGate_cx_inGap_60_.qasm,0.348958333,0.348958333,0.348958333,,,,,,,,,,,,
AddGate_cx_inGap_61_.qasm,0.317708333,0.317708333,0.317708333,,,,,,,,,,,,
AddGate_cx_inGap_62_.qasm,0.395833333,0.395833333,0.395833333,,,,,,,,,,,,
AddGate_cx_inGap_63_.qasm,0.432291667,0.432291667,0.432291667,,,,,,,,,,,,
AddGate_cx_inGap_64_.qasm,0.375,0.375,0.375,,,,,,,,,,,,
AddGate_cx_inGap_65_.qasm,0.453125,0.453125,0.453125,,,,,,,,,,,,
AddGate_cx_inGap_66_.qasm,0.40625,0.40625,0.40625,,,,,,,,,,,,
AddGate_cx_inGap_67_.qasm,0.453125,0.453125,0.453125,,,,,,,,,,,,
AddGate_cx_inGap_68_.qasm,0.390625,0.390625,0.390625,,,,,,,,,,,,
AddGate_cx_inGap_69_.qasm,0.473958333,0.473958333,0.473958333,,,,,,,,,,,,
AddGate_cx_inGap_70_.qasm,0.515625,0.515625,0.515625,,,,,,,,,,,,
AddGate_cx_inGap_71_.qasm,0.489583333,0.489583333,0.489583333,,,,,,,,,,,,
AddGate_cx_inGap_72_.qasm,0.526041667,0.526041667,0.526041667,,,,,,,,,,,,
AddGate_cx_inGap_73_.qasm,0.505208333,0.505208333,0.505208333,,,,,,,,,,,,
AddGate_cx_inGap_74_.qasm,0.546875,0.546875,0.546875,,,,,,,,,,,,
AddGate_cx_inGap_75_.qasm,0.494791667,0.494791667,0.494791667,,,,,,,,,,,,
AddGate_cx_inGap_87_.qasm,0.671875,0.671875,0.671875,,,,,,,,,,,,
AddGate_cx_inGap_88_.qasm,0.619791667,0.619791667,0.619791667,,,,,,,,,,,,
AddGate_cx_inGap_89_.qasm,0.703125,0.703125,0.703125,,,,,,,,,,,,
AddGate_cx_inGap_90_.qasm,0.515625,0.515625,0.515625,,,,,,,,,,,,
AddGate_cx_inGap_91_.qasm,0.640625,0.640625,0.640625,,,,,,,,,,,,
AddGate_cx_inGap_92_.qasm,0.572916667,0.572916667,0.572916667,,,,,,,,,,,,
AddGate_cx_inGap_93_.qasm,0.666666667,0.666666667,0.666666667,,,,,,,,,,,,
AddGate_cx_inGap_94_.qasm,0.583333333,0.583333333,0.583333333,,,,,,,,,,,,
AddGate_cx_inGap_95_.qasm,0.697916667,0.697916667,0.697916667,,,,,,,,,,,,
AddGate_cx_inGap_96_.qasm,0.640625,0.640625,0.640625,,,,,,,,,,,,
AddGate_h_inGap_100_.qasm,0.848958333,0.848958333,0.848958333,,H,0.655273438,,,,,0.655273438,,,,
AddGate_h_inGap_101_.qasm,0.776041667,0.776041667,0.776041667,,,,,,,,,,,,
AddGate_h_inGap_102_.qasm,0.833333333,0.833333333,0.833333333,,,,,,,,,,,,
AddGate_h_inGap_103_.qasm,0.838541667,0.838541667,0.838541667,,,,,,,,,,,,
AddGate_h_inGap_104_.qasm,0.869791667,0.869791667,0.869791667,,,,,,,,,,,,
AddGate_h_inGap_105_.qasm,0.869791667,0.869791667,0.869791667,,,,,,,,,,,,
AddGate_h_inGap_106_.qasm,0.921875,0.921875,0.921875,,,,,,,,,,,,
AddGate_h_inGap_107_.qasm,0.921875,0.921875,0.921875,,,,,,,,,,,,
AddGate_h_inGap_108_.qasm,0.807291667,0.807291667,0.807291667,,,,,,,,,,,,
AddGate_h_inGap_109_.qasm,0.822916667,0.822916667,0.822916667,,,,,,,,,,,,
AddGate_h_inGap_110_.qasm,0.833333333,0.833333333,0.833333333,,,,,,,,,,,,
AddGate_h_inGap_111_.qasm,0.848958333,0.848958333,0.848958333,,,,,,,,,,,,
AddGate_h_inGap_59_.qasm,0.427083333,0.427083333,0.427083333,,,,,,,,,,,,
AddGate_h_inGap_60_.qasm,0.46875,0.46875,0.46875,,,,,,,,,,,,
AddGate_h_inGap_61_.qasm,0.479166667,0.479166667,0.479166667,,,,,,,,,,,,
AddGate_h_inGap_62_.qasm,0.432291667,0.432291667,0.432291667,,,,,,,,,,,,
