Program,best_exam_score,worst_exam_score,avg_exam_score,,,,,,,Barinel (Perfect EXAM = 0.0385),,,,,
,,,,,,Average EXAM Best-Case By Gate,Average EXAM Best-Case Overall,Median EXAM Best-Case,% Top 1 Best-Case,% Top 3 Best-Case,Average EXAM Worst-Case By Gate,Average EXAM Worst-Case Overall,Median EXAM Worst-Case,% Top 1 Worst-Case,% Top 3 Worst-Case
AddGate_ccx_inGap_14_.qasm,0.846153846,0.846153846,0.846153846,,CCX,0.61965812,0.241826923,0.153846154,0.204166667,0.466666667,0.61965812,0.244391026,0.153846154,0.141666667,0.466666667
AddGate_ccx_inGap_15_.qasm,0.961538462,0.961538462,0.961538462,,,,,,,,,,,,
AddGate_ccx_inGap_16_.qasm,0.192307692,0.192307692,0.192307692,,,,,,,,,,,,
AddGate_ccx_inGap_17_.qasm,0.615384615,0.615384615,0.615384615,,,,,,,,,,,,
AddGate_ccx_inGap_18_.qasm,0.692307692,0.692307692,0.692307692,,,,,,,,,,,,
AddGate_ccx_inGap_19_.qasm,0.923076923,0.923076923,0.923076923,,,,,,,,,,,,
AddGate_ccx_inGap_20_.qasm,0.615384615,0.615384615,0.615384615,,,,,,,,,,,,
AddGate_ccx_inGap_21_.qasm,0.653846154,0.653846154,0.653846154,,,,,,,,,,,,
AddGate_ccx_inGap_22_.qasm,0.076923077,0.076923077,0.076923077,,,,,,,,,,,,
AddGate_cswap_inGap_11_.qasm,0.269230769,0.269230769,0.269230769,,CSWAP,0.471153846,,,,,0.471153846,,,,
AddGate_cswap_inGap_12_.qasm,0.192307692,0.192307692,0.192307692,,,,,,,,,,,,
AddGate_cswap_inGap_13_.qasm,0.961538462,0.961538462,0.961538462,,,,,,,,,,,,
AddGate_cswap_inGap_14_.qasm,0.576923077,0.576923077,0.576923077,,,,,,,,,,,,
AddGate_cswap_inGap_15_.qasm,0.384615385,0.384615385,0.384615385,,,,,,,,,,,,
AddGate_cswap_inGap_16_.qasm,0.923076923,0.923076923,0.923076923,,,,,,,,,,,,
AddGate_cswap_inGap_17_.qasm,0.615384615,0.615384615,0.615384615,,,,,,,,,,,,
AddGate_cswap_inGap_18_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_cswap_inGap_19_.qasm,0.615384615,0.615384615,0.615384615,,,,,,,,,,,,
AddGate_cswap_inGap_23_.qasm,0.538461538,0.538461538,0.538461538,,,,,,,,,,,,
AddGate_cswap_inGap_24_.qasm,0.384615385,0.384615385,0.384615385,,,,,,,,,,,,
AddGate_cswap_inGap_25_.qasm,0.153846154,0.153846154,0.153846154,,,,,,,,,,,,
AddGate_cx_inGap_14_.qasm,0.153846154,0.153846154,0.153846154,,CX,0.183760684,,,,,0.183760684,,,,
AddGate_cx_inGap_15_.qasm,0.230769231,0.230769231,0.230769231,,,,,,,,,,,,
AddGate_cx_inGap_16_.qasm,0.230769231,0.230769231,0.230769231,,,,,,,,,,,,
AddGate_cx_inGap_17_.qasm,0.269230769,0.269230769,0.269230769,,,,,,,,,,,,
AddGate_cx_inGap_18_.qasm,0.115384615,0.115384615,0.115384615,,,,,,,,,,,,
AddGate_cx_inGap_19_.qasm,0.076923077,0.076923077,0.076923077,,,,,,,,,,,,
AddGate_cx_inGap_20_.qasm,0.115384615,0.115384615,0.115384615,,,,,,,,,,,,
AddGate_cx_inGap_21_.qasm,0.076923077,0.076923077,0.076923077,,,,,,,,,,,,
AddGate_cx_inGap_22_.qasm,0.384615385,0.384615385,0.384615385,,,,,,,,,,,,
AddGate_cz_inGap_14_.qasm,0.192307692,0.192307692,0.192307692,,CZ,0.320512821,,,,,0.320512821,,,,
AddGate_cz_inGap_15_.qasm,0.192307692,0.192307692,0.192307692,,,,,,,,,,,,
AddGate_cz_inGap_16_.qasm,0.692307692,0.692307692,0.692307692,,,,,,,,,,,,
AddGate_cz_inGap_20_.qasm,0.346153846,0.346153846,0.346153846,,,,,,,,,,,,
AddGate_cz_inGap_21_.qasm,0.115384615,0.115384615,0.115384615,,,,,,,,,,,,
AddGate_cz_inGap_22_.qasm,0.384615385,0.384615385,0.384615385,,,,,,,,,,,,
AddGate_h_inGap_10_.qasm,0.115384615,0.115384615,0.115384615,,H,0.285714286,,,,,0.285714286,,,,
AddGate_h_inGap_11_.qasm,0.269230769,0.269230769,0.269230769,,,,,,,,,,,,
AddGate_h_inGap_12_.qasm,0.230769231,0.230769231,0.230769231,,,,,,,,,,,,
AddGate_h_inGap_13_.qasm,0.153846154,0.153846154,0.153846154,,,,,,,,,,,,
AddGate_h_inGap_7_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_h_inGap_8_.qasm,0.576923077,0.576923077,0.576923077,,,,,,,,,,,,
AddGate_h_inGap_9_.qasm,0.153846154,0.153846154,0.153846154,,,,,,,,,,,,
AddGate_p_inGap_14_.qasm,0.038461538,0.038461538,0.038461538,,P,0.185897436,,,,,0.192307692,,,,
AddGate_p_inGap_15_.qasm,0.076923077,0.076923077,0.076923077,,,,,,,,,,,,
AddGate_p_inGap_16_.qasm,0.153846154,0.153846154,0.153846154,,,,,,,,,,,,
AddGate_p_inGap_17_.qasm,0.115384615,0.115384615,0.115384615,,,,,,,,,,,,
AddGate_p_inGap_18_.qasm,0.115384615,0.115384615,0.115384615,,,,,,,,,,,,
AddGate_p_inGap_19_.qasm,0.461538462,0.461538462,0.461538462,,,,,,,,,,,,
AddGate_p_inGap_20_.qasm,0.115384615,0.115384615,0.115384615,,,,,,,,,,,,
AddGate_p_inGap_21_.qasm,0.961538462,1,0.980769231,,,,,,,,,,,,
AddGate_p_inGap_22_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_p_inGap_23_.qasm,0.076923077,0.076923077,0.076923077,,,,,,,,,,,,
AddGate_p_inGap_24_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_p_inGap_25_.qasm,0.038461538,0.076923077,0.057692308,,,,,,,,,,,,
AddGate_rx_inGap_14_.qasm,0.653846154,0.653846154,0.653846154,,RX ,0.158371041,,,,,0.162895928,,,,
AddGate_rx_inGap_15_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_rx_inGap_16_.qasm,0.384615385,0.384615385,0.384615385,,,,,,,,,,,,
AddGate_rx_inGap_17_.qasm,0.115384615,0.115384615,0.115384615,,,,,,,,,,,,
AddGate_rx_inGap_18_.qasm,0.230769231,0.230769231,0.230769231,,,,,,,,,,,,
AddGate_rx_inGap_19_.qasm,0.076923077,0.076923077,0.076923077,,,,,,,,,,,,
AddGate_rx_inGap_20_.qasm,0.192307692,0.192307692,0.192307692,,,,,,,,,,,,
AddGate_rx_inGap_21_.qasm,0.153846154,0.153846154,0.153846154,,,,,,,,,,,,
AddGate_rx_inGap_22_.qasm,0.076923077,0.076923077,0.076923077,,,,,,,,,,,,
AddGate_rx_inGap_23_.qasm,0.115384615,0.115384615,0.115384615,,,,,,,,,,,,
AddGate_rx_inGap_24_.qasm,0.076923077,0.076923077,0.076923077,,,,,,,,,,,,
