Program,best_exam_score,worst_exam_score,avg_exam_score,,,,,,,DStar (Perfect EXAM = 0.0385),,,,,
,,,,,,Average EXAM Best-Case By Gate,Average EXAM Best-Case Overall,Median EXAM Best-Case,% Top 1 Best-Case,% Top 3 Best-Case,Average EXAM Worst-Case By Gate,Average EXAM Worst-Case Overall,Median EXAM Worst-Case,% Top 1 Worst-Case,% Top 3 Worst-Case
AddGate_ccx_inGap_14_.qasm,0.038461538,0.038461538,0.038461538,,CCX,0.038461538,0.435096154,0.230769231,0.2125,0.266666667,0.038461538,0.43525641,0.230769231,0.2125,0.266666667
AddGate_ccx_inGap_15_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_ccx_inGap_16_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_ccx_inGap_17_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_ccx_inGap_18_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_ccx_inGap_19_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_ccx_inGap_20_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_ccx_inGap_21_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_ccx_inGap_22_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_cswap_inGap_11_.qasm,0.038461538,0.038461538,0.038461538,,CSWAP,0.038461538,,,,,0.038461538,,,,
AddGate_cswap_inGap_12_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_cswap_inGap_13_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_cswap_inGap_14_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_cswap_inGap_15_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_cswap_inGap_16_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_cswap_inGap_17_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_cswap_inGap_18_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_cswap_inGap_19_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_cswap_inGap_23_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_cswap_inGap_24_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_cswap_inGap_25_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_cx_inGap_14_.qasm,0.038461538,0.038461538,0.038461538,,CX,0.111111111,,,,,0.111111111,,,,
AddGate_cx_inGap_15_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_cx_inGap_16_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_cx_inGap_17_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_cx_inGap_18_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_cx_inGap_19_.qasm,0.115384615,0.115384615,0.115384615,,,,,,,,,,,,
AddGate_cx_inGap_20_.qasm,0.230769231,0.230769231,0.230769231,,,,,,,,,,,,
AddGate_cx_inGap_21_.qasm,0.230769231,0.230769231,0.230769231,,,,,,,,,,,,
AddGate_cx_inGap_22_.qasm,0.230769231,0.230769231,0.230769231,,,,,,,,,,,,
AddGate_cz_inGap_14_.qasm,0.730769231,0.730769231,0.730769231,,CZ,0.564102564,,,,,0.564102564,,,,
AddGate_cz_inGap_15_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_cz_inGap_16_.qasm,0.230769231,0.230769231,0.230769231,,,,,,,,,,,,
AddGate_cz_inGap_20_.qasm,0.307692308,0.307692308,0.307692308,,,,,,,,,,,,
AddGate_cz_inGap_21_.qasm,0.884615385,0.884615385,0.884615385,,,,,,,,,,,,
AddGate_cz_inGap_22_.qasm,0.730769231,0.730769231,0.730769231,,,,,,,,,,,,
AddGate_h_inGap_10_.qasm,0.653846154,0.653846154,0.653846154,,H,0.346153846,,,,,0.346153846,,,,
AddGate_h_inGap_11_.qasm,0.384615385,0.384615385,0.384615385,,,,,,,,,,,,
AddGate_h_inGap_12_.qasm,0.307692308,0.307692308,0.307692308,,,,,,,,,,,,
AddGate_h_inGap_13_.qasm,0.230769231,0.230769231,0.230769231,,,,,,,,,,,,
AddGate_h_inGap_7_.qasm,0.269230769,0.269230769,0.269230769,,,,,,,,,,,,
AddGate_h_inGap_8_.qasm,0.346153846,0.346153846,0.346153846,,,,,,,,,,,,
AddGate_h_inGap_9_.qasm,0.230769231,0.230769231,0.230769231,,,,,,,,,,,,
AddGate_p_inGap_14_.qasm,1,1,1,,P,0.894230769,,,,,0.894230769,,,,
AddGate_p_inGap_15_.qasm,1,1,1,,,,,,,,,,,,
AddGate_p_inGap_16_.qasm,0.807692308,0.807692308,0.807692308,,,,,,,,,,,,
AddGate_p_inGap_17_.qasm,0.807692308,0.807692308,0.807692308,,,,,,,,,,,,
AddGate_p_inGap_18_.qasm,1,1,1,,,,,,,,,,,,
AddGate_p_inGap_19_.qasm,1,1,1,,,,,,,,,,,,
AddGate_p_inGap_20_.qasm,0.230769231,0.230769231,0.230769231,,,,,,,,,,,,
AddGate_p_inGap_21_.qasm,1,1,1,,,,,,,,,,,,
AddGate_p_inGap_22_.qasm,0.923076923,0.923076923,0.923076923,,,,,,,,,,,,
AddGate_p_inGap_23_.qasm,1,1,1,,,,,,,,,,,,
AddGate_p_inGap_24_.qasm,0.961538462,0.961538462,0.961538462,,,,,,,,,,,,
AddGate_p_inGap_25_.qasm,1,1,1,,,,,,,,,,,,
AddGate_rx_inGap_14_.qasm,0.038461538,0.038461538,0.038461538,,RX ,0.585972851,,,,,0.585972851,,,,
AddGate_rx_inGap_15_.qasm,0.846153846,0.846153846,0.846153846,,,,,,,,,,,,
AddGate_rx_inGap_16_.qasm,0.230769231,0.230769231,0.230769231,,,,,,,,,,,,
AddGate_rx_inGap_17_.qasm,0.653846154,0.653846154,0.653846154,,,,,,,,,,,,
AddGate_rx_inGap_18_.qasm,0.115384615,0.115384615,0.115384615,,,,,,,,,,,,
AddGate_rx_inGap_19_.qasm,0.846153846,0.846153846,0.846153846,,,,,,,,,,,,
AddGate_rx_inGap_20_.qasm,0.730769231,0.730769231,0.730769231,,,,,,,,,,,,
AddGate_rx_inGap_21_.qasm,0.807692308,0.807692308,0.807692308,,,,,,,,,,,,
AddGate_rx_inGap_22_.qasm,0.884615385,0.884615385,0.884615385,,,,,,,,,,,,
AddGate_rx_inGap_23_.qasm,1,1,1,,,,,,,,,,,,
AddGate_rx_inGap_24_.qasm,0.884615385,0.884615385,0.884615385,,,,,,,,,,,,
AddGate_rx_inGap_25_.qasm,0.846153846,0.846153846,0.846153846,,,,,,,,,,,,
AddGate_rx_inGap_26_.qasm,0.076923077,0.076923077,0.076923077,,,,,,,,,,,,
AddGate_rx_inGap_27_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_rx_inGap_28_.qasm,0.961538462,0.961538462,0.961538462,,,,,,,,,,,,
AddGate_rx_inGap_29_.qasm,0.961538462,0.961538462,0.961538462,,,,,,,,,,,,
AddGate_rx_inGap_30_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_rxx_inGap_10_.qasm,0.038461538,0.038461538,0.038461538,,RXX,0.139423077,,,,,0.139423077,,,,
AddGate_rxx_inGap_14_.qasm,0.153846154,0.153846154,0.153846154,,,,,,,,,,,,
AddGate_rxx_inGap_15_.qasm,0.076923077,0.076923077,0.076923077,,,,,,,,,,,,
AddGate_rxx_inGap_16_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_rxx_inGap_17_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_rxx_inGap_18_.qasm,0.153846154,0.153846154,0.153846154,,,,,,,,,,,,
AddGate_rxx_inGap_19_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_rxx_inGap_20_.qasm,0.230769231,0.230769231,0.230769231,,,,,,,,,,,,
AddGate_rxx_inGap_21_.qasm,0.230769231,0.230769231,0.230769231,,,,,,,,,,,,
AddGate_rxx_inGap_22_.qasm,0.230769231,0.230769231,0.230769231,,,,,,,,,,,,
AddGate_rxx_inGap_4_.qasm,0.230769231,0.230769231,0.230769231,,,,,,,,,,,,
AddGate_rxx_inGap_5_.qasm,0.230769231,0.230769231,0.230769231,,,,,,,,,,,,
AddGate_rxx_inGap_6_.qasm,0.230769231,0.230769231,0.230769231,,,,,,,,,,,,
AddGate_rxx_inGap_7_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_rxx_inGap_8_.qasm,0.038461538,0.038461538,0.038461538,,,,,,,,,,,,
AddGate_rxx_inGap_9_.qasm,0.230769231,0.230769231,0.230769231,,,,,,,,,,,,
