Program,best_exam_score,worst_exam_score,avg_exam_score,,,,,,,Barinel (Perfect EXAM = 0.0556),,,,,
,,,,,,Average EXAM Best-Case By Gate,Average EXAM Best-Case Overall,Median EXAM Best-Case,% Top 1 Best-Case,% Top 3 Best-Case,Average EXAM Worst-Case By Gate,Average EXAM Worst-Case Overall,Median EXAM Worst-Case,% Top 1 Worst-Case,% Top 3 Worst-Case
AddGate_cswap_inGap_3_.qasm,0.166666667,0.166666667,0.166666667,,CSWAP,0.518518519,0.330808081,0.194444444,0.227272727,0.5,0.518518519,0.333333333,0.194444444,0.181818182,0.5
AddGate_cswap_inGap_4_.qasm,0.666666667,0.666666667,0.666666667,,,,,,,,,,,,
AddGate_cswap_inGap_5_.qasm,0.722222222,0.722222222,0.722222222,,,,,,,,,,,,
AddGate_h_inGap_10_.qasm,0.055555556,0.055555556,0.055555556,,H,0.273148148,,,,,0.273148148,,,,
AddGate_h_inGap_11_.qasm,0.111111111,0.111111111,0.111111111,,,,,,,,,,,,
AddGate_h_inGap_12_.qasm,0.055555556,0.055555556,0.055555556,,,,,,,,,,,,
AddGate_h_inGap_1_.qasm,0.722222222,0.722222222,0.722222222,,,,,,,,,,,,
AddGate_h_inGap_2_.qasm,0.444444444,0.444444444,0.444444444,,,,,,,,,,,,
AddGate_h_inGap_3_.qasm,0.444444444,0.444444444,0.444444444,,,,,,,,,,,,
AddGate_h_inGap_4_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_h_inGap_5_.qasm,0.111111111,0.111111111,0.111111111,,,,,,,,,,,,
AddGate_h_inGap_6_.qasm,0.777777778,0.777777778,0.777777778,,,,,,,,,,,,
AddGate_h_inGap_7_.qasm,0.111111111,0.111111111,0.111111111,,,,,,,,,,,,
AddGate_h_inGap_8_.qasm,0.055555556,0.055555556,0.055555556,,,,,,,,,,,,
AddGate_h_inGap_9_.qasm,0.055555556,0.055555556,0.055555556,,,,,,,,,,,,
AddGate_ry_inGap_1_.qasm,0.611111111,0.611111111,0.611111111,,RY,0.259259259,,,,,0.277777778,,,,
AddGate_ry_inGap_4_.qasm,0.111111111,0.111111111,0.111111111,,,,,,,,,,,,
AddGate_ry_inGap_5_.qasm,0.055555556,0.111111111,0.083333333,,,,,,,,,,,,
AddGate_swap_inGap_2_.qasm,0.222222222,0.222222222,0.222222222,,SWAP,0.416666667,,,,,0.416666667,,,,
AddGate_swap_inGap_3_.qasm,0.111111111,0.111111111,0.111111111,,,,,,,,,,,,
AddGate_swap_inGap_4_.qasm,0.666666667,0.666666667,0.666666667,,,,,,,,,,,,
AddGate_swap_inGap_5_.qasm,0.666666667,0.666666667,0.666666667,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Rand,Best,Worst,,,,,,,,,,,,,
0.661615198,0.666666667,0.666666667,,,,,,,,,,,,,
0.694302452,0.111111111,0.111111111,,,,,,,,,,,,,
0.000923125,0.222222222,0.222222222,,,,,,,,,,,,,
0.160791804,0.666666667,0.666666667,,,,,,,,,,,,,
0.995931322,,,,,,,,,,,,,,,
0.974578807,,,,,,,,,,,,,,,
0.837983086,,,,,,,,,,,,,,,
0.669535531,,,,,,,,,,,,,,,
0.672199174,,,,,,,,,,,,,,,
0.532066674,,,,,,,,,,,,,,,
0.825297768,,,,,,,,,,,,,,,
0.411479282,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,0.166666667,0.166666667,,0.328703704,0.194444444,0.166666667,0.5,,0.333333333,0.194444444,0.083333333,0.5,,,
,0.666666667,0.666666667,,,,,,,,,,,,,
,0.722222222,0.722222222,,,,,,,,,,,,,
,0.611111111,0.611111111,,,,,,,,,,,,,
,0.111111111,0.111111111,,,,,,,,,,,,,
,0.055555556,0.111111111,,,,,,,,,,,,,
,0.111111111,0.111111111,,,,,,,,,,,,,
,0.055555556,0.055555556,,,,,,,,,,,,,
,0.444444444,0.444444444,,,,,,,,,,,,,
,0.666666667,0.666666667,,,,,,,,,,,,,
,0.111111111,0.111111111,,,,,,,,,,,,,
,0.222222222,0.222222222,,,,,,,,,,,,,
