Program,best_exam_score,worst_exam_score,avg_exam_score,,,,,,,DStar (Perfect EXAM = 0.0556),,,,,
,,,,,,Average EXAM Best-Case By Gate,Average EXAM Best-Case Overall,Median EXAM Best-Case,% Top 1 Best-Case,% Top 3 Best-Case,Average EXAM Worst-Case By Gate,Average EXAM Worst-Case Overall,Median EXAM Worst-Case,% Top 1 Worst-Case,% Top 3 Worst-Case
AddGate_cswap_inGap_3_.qasm,0.166666667,0.166666667,0.166666667,,CSWAP,0.111111111,0.333333333,0.305555556,0.045454545,0.409090909,0.111111111,0.333333333,0.305555556,0.045454545,0.409090909
AddGate_cswap_inGap_4_.qasm,0.111111111,0.111111111,0.111111111,,,,,,,,,,,,
AddGate_cswap_inGap_5_.qasm,0.055555556,0.055555556,0.055555556,,,,,,,,,,,,
AddGate_h_inGap_10_.qasm,0.5,0.5,0.5,,H,0.476851852,,,,,0.476851852,,,,
AddGate_h_inGap_11_.qasm,0.611111111,0.611111111,0.611111111,,,,,,,,,,,,
AddGate_h_inGap_12_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_h_inGap_1_.qasm,0.444444444,0.444444444,0.444444444,,,,,,,,,,,,
AddGate_h_inGap_2_.qasm,0.388888889,0.388888889,0.388888889,,,,,,,,,,,,
AddGate_h_inGap_3_.qasm,0.388888889,0.388888889,0.388888889,,,,,,,,,,,,
AddGate_h_inGap_4_.qasm,0.388888889,0.388888889,0.388888889,,,,,,,,,,,,
AddGate_h_inGap_5_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_h_inGap_6_.qasm,0.111111111,0.111111111,0.111111111,,,,,,,,,,,,
AddGate_h_inGap_7_.qasm,0.722222222,0.722222222,0.722222222,,,,,,,,,,,,
AddGate_h_inGap_8_.qasm,0.833333333,0.833333333,0.833333333,,,,,,,,,,,,
AddGate_h_inGap_9_.qasm,0.666666667,0.666666667,0.666666667,,,,,,,,,,,,
AddGate_ry_inGap_1_.qasm,0.277777778,0.277777778,0.277777778,,RY,0.185185185,,,,,0.185185185,,,,
AddGate_ry_inGap_4_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_ry_inGap_5_.qasm,0.111111111,0.111111111,0.111111111,,,,,,,,,,,,
AddGate_swap_inGap_2_.qasm,0.222222222,0.222222222,0.222222222,,SWAP,0.180555556,,,,,0.180555556,,,,
AddGate_swap_inGap_3_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_swap_inGap_4_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_swap_inGap_5_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Rand,Best,Worst,,,,,,,,,,,,,
0.216933624,0.166666667,0.166666667,,,,,,,,,,,,,
0.105523885,0.166666667,0.166666667,,,,,,,,,,,,,
0.344908758,0.166666667,0.166666667,,,,,,,,,,,,,
0.610150489,0.222222222,0.222222222,,,,,,,,,,,,,
0.039663417,,,,,,,,,,,,,,,
0.85267292,,,,,,,,,,,,,,,
0.262232739,,,,,,,,,,,,,,,
0.307789219,,,,,,,,,,,,,,,
0.115898378,,,,,,,,,,,,,,,
0.683044834,,,,,,,,,,,,,,,
0.246237802,,,,,,,,,,,,,,,
0.375946213,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,0.166666667,0.166666667,,0.208333333,0.166666667,0.083333333,0.75,,0.208333333,0.166666667,0.083333333,0.75,,,
,0.111111111,0.111111111,,,,,,,,,,,,,
,0.055555556,0.055555556,,,,,,,,,,,,,
,0.277777778,0.277777778,,,,,,,,,,,,,
,0.166666667,0.166666667,,,,,,,,,,,,,
,0.111111111,0.111111111,,,,,,,,,,,,,
,0.388888889,0.388888889,,,,,,,,,,,,,
,0.111111111,0.111111111,,,,,,,,,,,,,
,0.611111111,0.611111111,,,,,,,,,,,,,
,0.166666667,0.166666667,,,,,,,,,,,,,
,0.166666667,0.166666667,,,,,,,,,,,,,
,0.166666667,0.166666667,,,,,,,,,,,,,
