Program,best_exam_score,worst_exam_score,avg_exam_score,,,,,,,Barinel (Perfect EXAM = 0.0476),,,,,
,,,,,,Average EXAM Best-Case By Gate,Average EXAM Best-Case Overall,Median EXAM Best-Case,% Top 1 Best-Case,% Top 3 Best-Case,Average EXAM Worst-Case By Gate,Average EXAM Worst-Case Overall,Median EXAM Worst-Case,% Top 1 Worst-Case,% Top 3 Worst-Case
AddGate_ccx_inGap_10_.qasm,0.761904762,0.761904762,0.761904762,,CCX,0.680272109,0.471322075,0.428571429,0.121405751,0.274760383,0.680272109,0.474060551,0.428571429,0.108626198,0.274760383
AddGate_ccx_inGap_11_.qasm,0.714285714,0.714285714,0.714285714,,,,,,,,,,,,
AddGate_ccx_inGap_12_.qasm,0.952380952,0.952380952,0.952380952,,,,,,,,,,,,
AddGate_ccx_inGap_13_.qasm,0.238095238,0.238095238,0.238095238,,,,,,,,,,,,
AddGate_ccx_inGap_14_.qasm,0.857142857,0.857142857,0.857142857,,,,,,,,,,,,
AddGate_ccx_inGap_15_.qasm,0.857142857,0.857142857,0.857142857,,,,,,,,,,,,
AddGate_ccx_inGap_16_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_ccx_inGap_17_.qasm,0.619047619,0.619047619,0.619047619,,,,,,,,,,,,
AddGate_ccx_inGap_18_.qasm,1,1,1,,,,,,,,,,,,
AddGate_ccx_inGap_19_.qasm,0.952380952,0.952380952,0.952380952,,,,,,,,,,,,
AddGate_ccx_inGap_20_.qasm,0.428571429,0.428571429,0.428571429,,,,,,,,,,,,
AddGate_ccx_inGap_7_.qasm,0.619047619,0.619047619,0.619047619,,,,,,,,,,,,
AddGate_ccx_inGap_8_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_ccx_inGap_9_.qasm,0.428571429,0.428571429,0.428571429,,,,,,,,,,,,
AddGate_cswap_inGap_10_.qasm,0.619047619,0.619047619,0.619047619,,CSWAP,0.87414966,,,,,0.87414966,,,,
AddGate_cswap_inGap_11_.qasm,0.714285714,0.714285714,0.714285714,,,,,,,,,,,,
AddGate_cswap_inGap_12_.qasm,0.857142857,0.857142857,0.857142857,,,,,,,,,,,,
AddGate_cswap_inGap_13_.qasm,1,1,1,,,,,,,,,,,,
AddGate_cswap_inGap_14_.qasm,1,1,1,,,,,,,,,,,,
AddGate_cswap_inGap_15_.qasm,0.952380952,0.952380952,0.952380952,,,,,,,,,,,,
AddGate_cswap_inGap_16_.qasm,1,1,1,,,,,,,,,,,,
AddGate_cswap_inGap_17_.qasm,1,1,1,,,,,,,,,,,,
AddGate_cswap_inGap_18_.qasm,0.904761905,0.904761905,0.904761905,,,,,,,,,,,,
AddGate_cswap_inGap_19_.qasm,0.857142857,0.857142857,0.857142857,,,,,,,,,,,,
AddGate_cswap_inGap_20_.qasm,0.904761905,0.904761905,0.904761905,,,,,,,,,,,,
AddGate_cswap_inGap_7_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_cswap_inGap_8_.qasm,0.904761905,0.904761905,0.904761905,,,,,,,,,,,,
AddGate_cswap_inGap_9_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_cx_inGap_10_.qasm,0.80952381,0.80952381,0.80952381,,CX,0.519047619,,,,,0.519047619,,,,
AddGate_cx_inGap_11_.qasm,0.904761905,0.904761905,0.904761905,,,,,,,,,,,,
AddGate_cx_inGap_12_.qasm,0.285714286,0.285714286,0.285714286,,,,,,,,,,,,
AddGate_cx_inGap_13_.qasm,0.666666667,0.666666667,0.666666667,,,,,,,,,,,,
AddGate_cx_inGap_14_.qasm,0.80952381,0.80952381,0.80952381,,,,,,,,,,,,
AddGate_cx_inGap_15_.qasm,0.285714286,0.285714286,0.285714286,,,,,,,,,,,,
AddGate_cx_inGap_16_.qasm,0.380952381,0.380952381,0.380952381,,,,,,,,,,,,
AddGate_cx_inGap_17_.qasm,0.19047619,0.19047619,0.19047619,,,,,,,,,,,,
AddGate_cx_inGap_18_.qasm,0.142857143,0.142857143,0.142857143,,,,,,,,,,,,
AddGate_cx_inGap_19_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_cx_inGap_1_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_cx_inGap_20_.qasm,0.619047619,0.619047619,0.619047619,,,,,,,,,,,,
AddGate_cx_inGap_2_.qasm,0.428571429,0.428571429,0.428571429,,,,,,,,,,,,
AddGate_cx_inGap_3_.qasm,0.523809524,0.523809524,0.523809524,,,,,,,,,,,,
AddGate_cx_inGap_4_.qasm,0.714285714,0.714285714,0.714285714,,,,,,,,,,,,
AddGate_cx_inGap_5_.qasm,0.571428571,0.571428571,0.571428571,,,,,,,,,,,,
AddGate_cx_inGap_6_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_cx_inGap_7_.qasm,0.476190476,0.476190476,0.476190476,,,,,,,,,,,,
AddGate_cx_inGap_8_.qasm,0.476190476,0.476190476,0.476190476,,,,,,,,,,,,
AddGate_cx_inGap_9_.qasm,0.238095238,0.238095238,0.238095238,,,,,,,,,,,,
AddGate_cz_inGap_10_.qasm,0.80952381,0.80952381,0.80952381,,CZ,0.533333333,,,,,0.533333333,,,,
AddGate_cz_inGap_11_.qasm,0.666666667,0.666666667,0.666666667,,,,,,,,,,,,
AddGate_cz_inGap_12_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_cz_inGap_13_.qasm,0.952380952,0.952380952,0.952380952,,,,,,,,,,,,
AddGate_cz_inGap_14_.qasm,0.80952381,0.80952381,0.80952381,,,,,,,,,,,,
AddGate_cz_inGap_15_.qasm,0.80952381,0.80952381,0.80952381,,,,,,,,,,,,
AddGate_cz_inGap_1_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_cz_inGap_2_.qasm,0.238095238,0.238095238,0.238095238,,,,,,,,,,,,
AddGate_cz_inGap_3_.qasm,0.19047619,0.19047619,0.19047619,,,,,,,,,,,,
AddGate_cz_inGap_4_.qasm,0.666666667,0.666666667,0.666666667,,,,,,,,,,,,
AddGate_cz_inGap_5_.qasm,0.571428571,0.571428571,0.571428571,,,,,,,,,,,,
AddGate_cz_inGap_6_.qasm,0.476190476,0.476190476,0.476190476,,,,,,,,,,,,
AddGate_cz_inGap_7_.qasm,0.714285714,0.714285714,0.714285714,,,,,,,,,,,,
AddGate_cz_inGap_8_.qasm,0.142857143,0.142857143,0.142857143,,,,,,,,,,,,
AddGate_cz_inGap_9_.qasm,0.285714286,0.285714286,0.285714286,,,,,,,,,,,,
AddGate_h_inGap_10_.qasm,0.047619048,0.047619048,0.047619048,,H,0.371428571,,,,,0.376190476,,,,
AddGate_h_inGap_11_.qasm,0.380952381,0.380952381,0.380952381,,,,,,,,,,,,
AddGate_h_inGap_12_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_h_inGap_13_.qasm,0.952380952,0.952380952,0.952380952,,,,,,,,,,,,
AddGate_h_inGap_14_.qasm,0.666666667,0.666666667,0.666666667,,,,,,,,,,,,
AddGate_h_inGap_15_.qasm,0.047619048,0.095238095,0.071428571,,,,,,,,,,,,
AddGate_h_inGap_16_.qasm,0.047619048,0.047619048,0.047619048,,,,,,,,,,,,
AddGate_h_inGap_17_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_h_inGap_18_.qasm,0.142857143,0.142857143,0.142857143,,,,,,,,,,,,
AddGate_h_inGap_19_.qasm,0.619047619,0.619047619,0.619047619,,,,,,,,,,,,
AddGate_h_inGap_1_.qasm,0.619047619,0.619047619,0.619047619,,,,,,,,,,,,
AddGate_h_inGap_20_.qasm,0.047619048,0.095238095,0.071428571,,,,,,,,,,,,
AddGate_h_inGap_2_.qasm,0.571428571,0.571428571,0.571428571,,,,,,,,,,,,
AddGate_h_inGap_3_.qasm,0.285714286,0.285714286,0.285714286,,,,,,,,,,,,
AddGate_h_inGap_4_.qasm,0.523809524,0.523809524,0.523809524,,,,,,,,,,,,
AddGate_h_inGap_5_.qasm,0.523809524,0.523809524,0.523809524,,,,,,,,,,,,
AddGate_h_inGap_6_.qasm,0.047619048,0.047619048,0.047619048,,,,,,,,,,,,
AddGate_h_inGap_7_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_h_inGap_8_.qasm,0.095238095,0.095238095,0.095238095,,,,,,,,,,,,
AddGate_h_inGap_9_.qasm,0.380952381,0.380952381,0.380952381,,,,,,,,,,,,
AddGate_p_inGap_10_.qasm,0.095238095,0.095238095,0.095238095,,P,0.266666667,,,,,0.26984127,,,,
AddGate_p_inGap_11_.qasm,0.619047619,0.619047619,0.619047619,,,,,,,,,,,,
AddGate_p_inGap_12_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
