Program,best_exam_score,worst_exam_score,avg_exam_score,,,,,,,Barinel (Perfect EXAM = 0.04545),,,,,
,,,,,,Average EXAM Best-Case By Gate,Average EXAM Best-Case Overall,Median EXAM Best-Case,% Top 1 Best-Case,% Top 3 Best-Case,Average EXAM Worst-Case By Gate,Average EXAM Worst-Case Overall,Median EXAM Worst-Case,% Top 1 Worst-Case,% Top 3 Worst-Case
AddGate_ccx_inGap_6_.qasm,0.818181818,0.818181818,0.818181818,,CCX,0.818181818,0.258467023,0.136363636,0.31372549,0.509803922,0.818181818,0.267379679,0.181818182,0.274509804,0.470588235
AddGate_cswap_inGap_11_.qasm,0.727272727,0.727272727,0.727272727,,CSWAP,0.772727273,,,,,0.772727273,,,,
AddGate_cswap_inGap_6_.qasm,0.818181818,0.818181818,0.818181818,,,,,,,,,,,,
AddGate_cx_inGap_6_.qasm,0.227272727,0.227272727,0.227272727,,CX,0.227272727,,,,,0.227272727,,,,
AddGate_cz_inGap_10_.qasm,0.272727273,0.272727273,0.272727273,,CZ,0.181818182,,,,,0.181818182,,,,
AddGate_cz_inGap_11_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_h_inGap_11_.qasm,0.090909091,0.090909091,0.090909091,,H,0.090909091,,,,,0.090909091,,,,
AddGate_p_inGap_10_.qasm,0.045454545,0.045454545,0.045454545,,P,0.113636364,,,,,0.136363636,,,,
AddGate_p_inGap_11_.qasm,0.181818182,0.227272727,0.204545455,,,,,,,,,,,,
AddGate_rxx_inGap_11_.qasm,0.045454545,0.045454545,0.045454545,,RXX,0.045454545,,,,,0.045454545,,,,
AddGate_ry_inGap_11_.qasm,0.045454545,0.090909091,0.068181818,,RY,0.090909091,,,,,0.113636364,,,,
AddGate_ry_inGap_6_.qasm,0.136363636,0.136363636,0.136363636,,,,,,,,,,,,
AddGate_rz_inGap_10_.qasm,0.136363636,0.136363636,0.136363636,,RZ,0.136363636,,,,,0.151515152,,,,
AddGate_rz_inGap_11_.qasm,0.227272727,0.272727273,0.25,,,,,,,,,,,,
AddGate_rz_inGap_6_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_rzz_inGap_10_.qasm,0.045454545,0.045454545,0.045454545,,RZZ,0.166666667,,,,,0.166666667,,,,
AddGate_rzz_inGap_11_.qasm,0.136363636,0.136363636,0.136363636,,,,,,,,,,,,
AddGate_rzz_inGap_6_.qasm,0.318181818,0.318181818,0.318181818,,,,,,,,,,,,
AddGate_s_inGap_11_.qasm,0.727272727,0.772727273,0.75,,S,0.727272727,,,,,0.772727273,,,,
AddGate_swap_inGap_10_.qasm,0.045454545,0.045454545,0.045454545,,SWAP,0.113636364,,,,,0.113636364,,,,
AddGate_swap_inGap_11_.qasm,0.181818182,0.181818182,0.181818182,,,,,,,,,,,,
AddGate_x_inGap_12_.qasm,0.045454545,0.045454545,0.045454545,,X,0.190909091,,,,,0.2,,,,
AddGate_x_inGap_13_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_x_inGap_14_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_x_inGap_15_.qasm,0.181818182,0.227272727,0.204545455,,,,,,,,,,,,
AddGate_x_inGap_16_.qasm,0.636363636,0.636363636,0.636363636,,,,,,,,,,,,
AddGate_x_inGap_1_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_x_inGap_2_.qasm,0.363636364,0.363636364,0.363636364,,,,,,,,,,,,
AddGate_x_inGap_3_.qasm,0.409090909,0.409090909,0.409090909,,,,,,,,,,,,
AddGate_x_inGap_4_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_x_inGap_5_.qasm,0.045454545,0.090909091,0.068181818,,,,,,,,,,,,
AddGate_y_inGap_10_.qasm,0.318181818,0.318181818,0.318181818,,Y,0.285714286,,,,,0.295454545,,,,
AddGate_y_inGap_11_.qasm,0.272727273,0.318181818,0.295454545,,,,,,,,,,,,
AddGate_y_inGap_12_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_y_inGap_13_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_y_inGap_14_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_y_inGap_15_.qasm,0.181818182,0.227272727,0.204545455,,,,,,,,,,,,
AddGate_y_inGap_16_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_y_inGap_1_.qasm,0.818181818,0.818181818,0.818181818,,,,,,,,,,,,
AddGate_y_inGap_2_.qasm,0.363636364,0.363636364,0.363636364,,,,,,,,,,,,
AddGate_y_inGap_3_.qasm,0.272727273,0.272727273,0.272727273,,,,,,,,,,,,
AddGate_y_inGap_4_.qasm,0.636363636,0.636363636,0.636363636,,,,,,,,,,,,
AddGate_y_inGap_5_.qasm,0.136363636,0.181818182,0.159090909,,,,,,,,,,,,
AddGate_y_inGap_6_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_y_inGap_9_.qasm,0.772727273,0.772727273,0.772727273,,,,,,,,,,,,
AddGate_z_inGap_10_.qasm,0.681818182,0.681818182,0.681818182,,Z,0.318181818,,,,,0.325757576,,,,
AddGate_z_inGap_11_.qasm,0.136363636,0.181818182,0.159090909,,,,,,,,,,,,
AddGate_z_inGap_6_.qasm,0.136363636,0.136363636,0.136363636,,,,,,,,,,,,
AddGate_z_inGap_7_.qasm,0.590909091,0.590909091,0.590909091,,,,,,,,,,,,
AddGate_z_inGap_8_.qasm,0.272727273,0.272727273,0.272727273,,,,,,,,,,,,
AddGate_z_inGap_9_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Rand,Best,Worst,,,,,,,,,,,,,
0.076708639,0.136363636,0.181818182,,,,,,,,,,,,,
0.962930939,0.136363636,0.136363636,,,,,,,,,,,,,
0.207624427,0.272727273,0.272727273,,,,,,,,,,,,,
0.419803666,0.681818182,0.681818182,,,,,,,,,,,,,
0.205942403,0.590909091,0.590909091,,,,,,,,,,,,,
0.144018792,0.090909091,0.090909091,,,,,,,,,,,,,
0.456813733,,,,,,,,,,,,,,,
0.83084699,,,,,,,,,,,,,,,
0.89730687,,,,,,,,,,,,,,,
0.643552567,,,,,,,,,,,,,,,
0.966606146,,,,,,,,,,,,,,,
0.756842752,,,,,,,,,,,,,,,
0.160789121,,,,,,,,,,,,,,,
0.386612229,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,0.818181818,0.818181818,,0.245454545,0.136363636,0.333333333,0.566666667,,0.253030303,0.136363636,0.3,0.533333333,,,
,0.727272727,0.727272727,,,,,,,,,,,,,
,0.818181818,0.818181818,,,,,,,,,,,,,
,0.227272727,0.227272727,,,,,,,,,,,,,
,0.272727273,0.272727273,,,,,,,,,,,,,
,0.090909091,0.090909091,,,,,,,,,,,,,
,0.090909091,0.090909091,,,,,,,,,,,,,
,0.045454545,0.045454545,,,,,,,,,,,,,
,0.181818182,0.227272727,,,,,,,,,,,,,
,0.045454545,0.045454545,,,,,,,,,,,,,
,0.045454545,0.090909091,,,,,,,,,,,,,
,0.136363636,0.136363636,,,,,,,,,,,,,
,0.136363636,0.136363636,,,,,,,,,,,,,
,0.227272727,0.272727273,,,,,,,,,,,,,
,0.045454545,0.045454545,,,,,,,,,,,,,
,0.045454545,0.045454545,,,,,,,,,,,,,
,0.136363636,0.136363636,,,,,,,,,,,,,
,0.318181818,0.318181818,,,,,,,,,,,,,
,0.727272727,0.772727273,,,,,,,,,,,,,
,0.045454545,0.045454545,,,,,,,,,,,,,
,0.181818182,0.181818182,,,,,,,,,,,,,
,0.045454545,0.045454545,,,,,,,,,,,,,
,0.045454545,0.045454545,,,,,,,,,,,,,
,0.636363636,0.636363636,,,,,,,,,,,,,
,0.045454545,0.045454545,,,,,,,,,,,,,
,0.636363636,0.636363636,,,,,,,,,,,,,
,0.045454545,0.045454545,,,,,,,,,,,,,
,0.136363636,0.181818182,,,,,,,,,,,,,
,0.136363636,0.136363636,,,,,,,,,,,,,
,0.272727273,0.272727273,,,,,,,,,,,,,
