Program,best_exam_score,worst_exam_score,avg_exam_score,,,,,,,DStar (Perfect EXAM = 0.04545),,,,,
,,,,,,Average EXAM Best-Case By Gate,Average EXAM Best-Case Overall,Median EXAM Best-Case,% Top 1 Best-Case,% Top 3 Best-Case,Average EXAM Worst-Case By Gate,Average EXAM Worst-Case Overall,Median EXAM Worst-Case,% Top 1 Worst-Case,% Top 3 Worst-Case
AddGate_ccx_inGap_6_.qasm,0.136363636,0.136363636,0.136363636,,CCX,0.136363636,0.180926916,0.090909091,0.411764706,0.725490196,0.136363636,0.183600713,0.090909091,0.411764706,0.725490196
AddGate_cswap_inGap_11_.qasm,0.045454545,0.045454545,0.045454545,,CSWAP,0.113636364,,,,,0.113636364,,,,
AddGate_cswap_inGap_6_.qasm,0.181818182,0.181818182,0.181818182,,,,,,,,,,,,
AddGate_cx_inGap_6_.qasm,0.090909091,0.090909091,0.090909091,,CX,0.090909091,,,,,0.090909091,,,,
AddGate_cz_inGap_10_.qasm,0.045454545,0.045454545,0.045454545,,CZ,0.045454545,,,,,0.045454545,,,,
AddGate_cz_inGap_11_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_h_inGap_11_.qasm,0.363636364,0.363636364,0.363636364,,H,0.363636364,,,,,0.363636364,,,,
AddGate_p_inGap_10_.qasm,0.090909091,0.090909091,0.090909091,,P,0.068181818,,,,,0.068181818,,,,
AddGate_p_inGap_11_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_rxx_inGap_11_.qasm,0.045454545,0.045454545,0.045454545,,RXX,0.045454545,,,,,0.045454545,,,,
AddGate_ry_inGap_11_.qasm,0.045454545,0.045454545,0.045454545,,RY,0.068181818,,,,,0.068181818,,,,
AddGate_ry_inGap_6_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_rz_inGap_10_.qasm,0.090909091,0.090909091,0.090909091,,RZ,0.075757576,,,,,0.075757576,,,,
AddGate_rz_inGap_11_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_rz_inGap_6_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_rzz_inGap_10_.qasm,0.090909091,0.090909091,0.090909091,,RZZ,0.075757576,,,,,0.075757576,,,,
AddGate_rzz_inGap_11_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_rzz_inGap_6_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_s_inGap_11_.qasm,0.818181818,0.863636364,0.840909091,,S,0.818181818,,,,,0.863636364,,,,
AddGate_swap_inGap_10_.qasm,0.090909091,0.090909091,0.090909091,,SWAP,0.068181818,,,,,0.068181818,,,,
AddGate_swap_inGap_11_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
