Program,best_exam_score,worst_exam_score,avg_exam_score,,,,,,,Barinel (Perfect EXAM = 0.04545),,,,,
,,,,,,Average EXAM Best-Case By Gate,Average EXAM Best-Case Overall,Median EXAM Best-Case,% Top 1 Best-Case,% Top 3 Best-Case,Average EXAM Worst-Case By Gate,Average EXAM Worst-Case Overall,Median EXAM Worst-Case,% Top 1 Worst-Case,% Top 3 Worst-Case
AddGate_ccx_inGap_6_.qasm,0.727272727,0.727272727,0.727272727,,CCX,0.393939394,0.268181818,0.181818182,0.175,0.45,0.393939394,0.272159091,0.181818182,0.175,0.45
AddGate_ccx_inGap_7_.qasm,0.181818182,0.181818182,0.181818182,,,,,,,,,,,,
AddGate_ccx_inGap_8_.qasm,0.272727273,0.272727273,0.272727273,,,,,,,,,,,,
AddGate_cswap_inGap_11_.qasm,1,1,1,,CSWAP,0.696969697,,,,,0.696969697,,,,
AddGate_cswap_inGap_6_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_cswap_inGap_9_.qasm,0.590909091,0.590909091,0.590909091,,,,,,,,,,,,
AddGate_cx_inGap_6_.qasm,0.227272727,0.227272727,0.227272727,,CX,0.257575758,,,,,0.257575758,,,,
AddGate_cx_inGap_7_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_cx_inGap_8_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_cz_inGap_10_.qasm,0.181818182,0.181818182,0.181818182,,CZ,0.477272727,,,,,0.477272727,,,,
AddGate_cz_inGap_11_.qasm,0.227272727,0.227272727,0.227272727,,,,,,,,,,,,
AddGate_cz_inGap_6_.qasm,0.590909091,0.590909091,0.590909091,,,,,,,,,,,,
AddGate_cz_inGap_7_.qasm,0.636363636,0.636363636,0.636363636,,,,,,,,,,,,
AddGate_cz_inGap_8_.qasm,0.954545455,0.954545455,0.954545455,,,,,,,,,,,,
AddGate_cz_inGap_9_.qasm,0.272727273,0.272727273,0.272727273,,,,,,,,,,,,
AddGate_h_inGap_10_.qasm,0.318181818,0.318181818,0.318181818,,H,0.218181818,,,,,0.218181818,,,,
AddGate_h_inGap_11_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_h_inGap_1_.qasm,0.318181818,0.318181818,0.318181818,,,,,,,,,,,,
AddGate_h_inGap_2_.qasm,0.318181818,0.318181818,0.318181818,,,,,,,,,,,,
AddGate_h_inGap_9_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_p_inGap_10_.qasm,0.136363636,0.136363636,0.136363636,,P,0.151515152,,,,,0.166666667,,,,
AddGate_p_inGap_11_.qasm,0.227272727,0.272727273,0.25,,,,,,,,,,,,
AddGate_p_inGap_9_.qasm,0.090909091,0.090909091,0.090909091,,,,,,,,,,,,
AddGate_rx_inGap_12_.qasm,0.045454545,0.045454545,0.045454545,,RX,0.1,,,,,0.109090909,,,,
AddGate_rx_inGap_13_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_rx_inGap_14_.qasm,0.136363636,0.136363636,0.136363636,,,,,,,,,,,,
AddGate_rx_inGap_15_.qasm,0.227272727,0.272727273,0.25,,,,,,,,,,,,
AddGate_rx_inGap_16_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
