Program,best_exam_score,worst_exam_score,avg_exam_score,,,,,,,DStar (Perfect EXAM = 0.04545),,,,,
,,,,,,Average EXAM Best-Case By Gate,Average EXAM Best-Case Overall,Median EXAM Best-Case,% Top 1 Best-Case,% Top 3 Best-Case,Average EXAM Worst-Case By Gate,Average EXAM Worst-Case Overall,Median EXAM Worst-Case,% Top 1 Worst-Case,% Top 3 Worst-Case
AddGate_ccx_inGap_6_.qasm,0.318181818,0.318181818,0.318181818,,CCX,0.303030303,0.202840909,0.045454545,0.575,0.6,0.303030303,0.203409091,0.045454545,0.575,0.6
AddGate_ccx_inGap_7_.qasm,0.272727273,0.272727273,0.272727273,,,,,,,,,,,,
AddGate_ccx_inGap_8_.qasm,0.318181818,0.318181818,0.318181818,,,,,,,,,,,,
AddGate_cswap_inGap_11_.qasm,0.045454545,0.045454545,0.045454545,,CSWAP,0.136363636,,,,,0.136363636,,,,
AddGate_cswap_inGap_6_.qasm,0.318181818,0.318181818,0.318181818,,,,,,,,,,,,
AddGate_cswap_inGap_9_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_cx_inGap_6_.qasm,0.045454545,0.045454545,0.045454545,,CX,0.090909091,,,,,0.090909091,,,,
AddGate_cx_inGap_7_.qasm,0.181818182,0.181818182,0.181818182,,,,,,,,,,,,
AddGate_cx_inGap_8_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_cz_inGap_10_.qasm,0.045454545,0.045454545,0.045454545,,CZ,0.060606061,,,,,0.060606061,,,,
AddGate_cz_inGap_11_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_cz_inGap_6_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_cz_inGap_7_.qasm,0.136363636,0.136363636,0.136363636,,,,,,,,,,,,
AddGate_cz_inGap_8_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_cz_inGap_9_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_h_inGap_10_.qasm,0.5,0.5,0.5,,H,0.454545455,,,,,0.454545455,,,,
AddGate_h_inGap_11_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_h_inGap_1_.qasm,0.409090909,0.409090909,0.409090909,,,,,,,,,,,,
AddGate_h_inGap_2_.qasm,0.409090909,0.409090909,0.409090909,,,,,,,,,,,,
AddGate_h_inGap_9_.qasm,0.454545455,0.454545455,0.454545455,,,,,,,,,,,,
AddGate_p_inGap_10_.qasm,0.045454545,0.045454545,0.045454545,,P,0.045454545,,,,,0.045454545,,,,
AddGate_p_inGap_11_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_p_inGap_9_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_rx_inGap_12_.qasm,0.681818182,0.681818182,0.681818182,,RX,0.336363636,,,,,0.336363636,,,,
AddGate_rx_inGap_13_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_rx_inGap_14_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_rx_inGap_15_.qasm,0.863636364,0.863636364,0.863636364,,,,,,,,,,,,
AddGate_rx_inGap_16_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_rxx_inGap_10_.qasm,0.045454545,0.045454545,0.045454545,,RXX,0.119318182,,,,,0.119318182,,,,
AddGate_rxx_inGap_11_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_rxx_inGap_12_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_rxx_inGap_13_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
AddGate_rxx_inGap_14_.qasm,0.045454545,0.045454545,0.045454545,,,,,,,,,,,,
