Program,best_exam_score,worst_exam_score,avg_exam_score,,,,,,,Barinel (Perfect EXAM = 0.0196),,,,,
,,,,,,Average EXAM Best-Case By Gate,Average EXAM Best-Case Overall,Median EXAM Best-Case,% Top 1 Best-Case,% Top 3 Best-Case,Average EXAM Worst-Case By Gate,Average EXAM Worst-Case Overall,Median EXAM Worst-Case,% Top 1 Worst-Case,% Top 3 Worst-Case
AddGate_h_inGap_26_.qasm,0.588235294,0.588235294,0.588235294,,H,0.435986159,0.395921569,0.352941176,0.096,0.192,0.435986159,0.396705882,0.352941176,0.096,0.192
AddGate_h_inGap_27_.qasm,0.588235294,0.588235294,0.588235294,,,,,,,,,,,,
AddGate_h_inGap_28_.qasm,0.137254902,0.137254902,0.137254902,,,,,,,,,,,,
AddGate_h_inGap_29_.qasm,0.764705882,0.764705882,0.764705882,,,,,,,,,,,,
AddGate_h_inGap_30_.qasm,0.843137255,0.843137255,0.843137255,,,,,,,,,,,,
AddGate_h_inGap_31_.qasm,0.784313725,0.784313725,0.784313725,,,,,,,,,,,,
AddGate_h_inGap_37_.qasm,0.098039216,0.098039216,0.098039216,,,,,,,,,,,,
AddGate_h_inGap_38_.qasm,0.607843137,0.607843137,0.607843137,,,,,,,,,,,,
AddGate_h_inGap_39_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_h_inGap_40_.qasm,0.137254902,0.137254902,0.137254902,,,,,,,,,,,,
AddGate_h_inGap_41_.qasm,0.137254902,0.137254902,0.137254902,,,,,,,,,,,,
AddGate_h_inGap_42_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_h_inGap_43_.qasm,0.705882353,0.705882353,0.705882353,,,,,,,,,,,,
AddGate_h_inGap_44_.qasm,0.274509804,0.274509804,0.274509804,,,,,,,,,,,,
AddGate_h_inGap_45_.qasm,0.078431373,0.078431373,0.078431373,,,,,,,,,,,,
AddGate_h_inGap_46_.qasm,0.960784314,0.960784314,0.960784314,,,,,,,,,,,,
AddGate_h_inGap_47_.qasm,0.039215686,0.039215686,0.039215686,,,,,,,,,,,,
AddGate_ry_inGap_1_.qasm,0.62745098,0.62745098,0.62745098,,RY,0.335784314,,,,,0.338235294,,,,
AddGate_ry_inGap_2_.qasm,0.019607843,0.019607843,0.019607843,,,,,,,,,,,,
AddGate_ry_inGap_32_.qasm,0.901960784,0.901960784,0.901960784,,,,,,,,,,,,
AddGate_ry_inGap_33_.qasm,0.784313725,0.784313725,0.784313725,,,,,,,,,,,,
AddGate_ry_inGap_34_.qasm,0.784313725,0.784313725,0.784313725,,,,,,,,,,,,
AddGate_ry_inGap_35_.qasm,0.725490196,0.725490196,0.725490196,,,,,,,,,,,,
AddGate_ry_inGap_36_.qasm,0.862745098,0.862745098,0.862745098,,,,,,,,,,,,
AddGate_ry_inGap_3_.qasm,0.098039216,0.098039216,0.098039216,,,,,,,,,,,,
AddGate_ry_inGap_48_.qasm,0.019607843,0.019607843,0.019607843,,,,,,,,,,,,
AddGate_ry_inGap_49_.qasm,0.039215686,0.039215686,0.039215686,,,,,,,,,,,,
AddGate_ry_inGap_50_.qasm,0.235294118,0.254901961,0.245098039,,,,,,,,,,,,
AddGate_ry_inGap_51_.qasm,0.039215686,0.039215686,0.039215686,,,,,,,,,,,,
AddGate_ry_inGap_52_.qasm,0.039215686,0.039215686,0.039215686,,,,,,,,,,,,
AddGate_ry_inGap_53_.qasm,0.098039216,0.098039216,0.098039216,,,,,,,,,,,,
AddGate_ry_inGap_54_.qasm,0.019607843,0.019607843,0.019607843,,,,,,,,,,,,
AddGate_ry_inGap_55_.qasm,0.078431373,0.098039216,0.088235294,,,,,,,,,,,,
AddGate_x_inGap_1_.qasm,1,1,1,,X,0.41429475,,,,,0.414927261,,,,
AddGate_x_inGap_20_.qasm,0.490196078,0.490196078,0.490196078,,,,,,,,,,,,
AddGate_x_inGap_21_.qasm,0.490196078,0.490196078,0.490196078,,,,,,,,,,,,
AddGate_x_inGap_22_.qasm,0.62745098,0.62745098,0.62745098,,,,,,,,,,,,
AddGate_x_inGap_23_.qasm,0.176470588,0.176470588,0.176470588,,,,,,,,,,,,
