Program,best_exam_score,worst_exam_score,avg_exam_score,,,,,,,DStar (Perfect EXAM = 0.0196),,,,,
,,,,,,Average EXAM Best-Case By Gate,Average EXAM Best-Case Overall,Median EXAM Best-Case,% Top 1 Best-Case,% Top 3 Best-Case,Average EXAM Worst-Case By Gate,Average EXAM Worst-Case Overall,Median EXAM Worst-Case,% Top 1 Worst-Case,% Top 3 Worst-Case
AddGate_h_inGap_26_.qasm,0.333333333,0.333333333,0.333333333,,H,0.343713956,0.373490196,0.31372549,0.008,0.08,0.343713956,0.373490196,0.31372549,0.008,0.08
AddGate_h_inGap_27_.qasm,0.31372549,0.31372549,0.31372549,,,,,,,,,,,,
AddGate_h_inGap_28_.qasm,0.62745098,0.62745098,0.62745098,,,,,,,,,,,,
AddGate_h_inGap_29_.qasm,0.31372549,0.31372549,0.31372549,,,,,,,,,,,,
AddGate_h_inGap_30_.qasm,0.470588235,0.470588235,0.470588235,,,,,,,,,,,,
AddGate_h_inGap_31_.qasm,0.450980392,0.450980392,0.450980392,,,,,,,,,,,,
AddGate_h_inGap_37_.qasm,0.254901961,0.254901961,0.254901961,,,,,,,,,,,,
AddGate_h_inGap_38_.qasm,0.215686275,0.215686275,0.215686275,,,,,,,,,,,,
AddGate_h_inGap_39_.qasm,0.176470588,0.176470588,0.176470588,,,,,,,,,,,,
AddGate_h_inGap_40_.qasm,0.156862745,0.156862745,0.156862745,,,,,,,,,,,,
AddGate_h_inGap_41_.qasm,0.274509804,0.274509804,0.274509804,,,,,,,,,,,,
AddGate_h_inGap_42_.qasm,0.274509804,0.274509804,0.274509804,,,,,,,,,,,,
AddGate_h_inGap_43_.qasm,0.62745098,0.62745098,0.62745098,,,,,,,,,,,,
AddGate_h_inGap_44_.qasm,0.235294118,0.235294118,0.235294118,,,,,,,,,,,,
AddGate_h_inGap_45_.qasm,0.607843137,0.607843137,0.607843137,,,,,,,,,,,,
AddGate_h_inGap_46_.qasm,0.254901961,0.254901961,0.254901961,,,,,,,,,,,,
AddGate_h_inGap_47_.qasm,0.254901961,0.254901961,0.254901961,,,,,,,,,,,,
AddGate_ry_inGap_1_.qasm,0.823529412,0.823529412,0.823529412,,RY,0.419117647,,,,,0.419117647,,,,
AddGate_ry_inGap_2_.qasm,0.862745098,0.862745098,0.862745098,,,,,,,,,,,,
AddGate_ry_inGap_32_.qasm,0.450980392,0.450980392,0.450980392,,,,,,,,,,,,
AddGate_ry_inGap_33_.qasm,0.823529412,0.823529412,0.823529412,,,,,,,,,,,,
AddGate_ry_inGap_34_.qasm,0.568627451,0.568627451,0.568627451,,,,,,,,,,,,
AddGate_ry_inGap_35_.qasm,0.352941176,0.352941176,0.352941176,,,,,,,,,,,,
AddGate_ry_inGap_36_.qasm,0.37254902,0.37254902,0.37254902,,,,,,,,,,,,
AddGate_ry_inGap_3_.qasm,0.666666667,0.666666667,0.666666667,,,,,,,,,,,,
AddGate_ry_inGap_48_.qasm,0.058823529,0.058823529,0.058823529,,,,,,,,,,,,
AddGate_ry_inGap_49_.qasm,0.490196078,0.490196078,0.490196078,,,,,,,,,,,,
AddGate_ry_inGap_50_.qasm,0.705882353,0.705882353,0.705882353,,,,,,,,,,,,
AddGate_ry_inGap_51_.qasm,0.098039216,0.098039216,0.098039216,,,,,,,,,,,,
AddGate_ry_inGap_52_.qasm,0.098039216,0.098039216,0.098039216,,,,,,,,,,,,
AddGate_ry_inGap_53_.qasm,0.254901961,0.254901961,0.254901961,,,,,,,,,,,,
AddGate_ry_inGap_54_.qasm,0.039215686,0.039215686,0.039215686,,,,,,,,,,,,
