Program,best_exam_score,worst_exam_score,avg_exam_score,,,,,,,Barinel (Perfect EXAM = 0.04167),,,,,
,,,,,,Average EXAM Best-Case By Gate,Average EXAM Best-Case Overall,Median EXAM Best-Case,% Top 1 Best-Case,% Top 3 Best-Case,Average EXAM Worst-Case By Gate,Average EXAM Worst-Case Overall,Median EXAM Worst-Case,% Top 1 Worst-Case,% Top 3 Worst-Case
AddGate_cz_inGap_15_.qasm,0.25,0.25,0.25,,CZ,0.361111111,0.264194139,0.166666667,0.186813187,0.461538462,0.361111111,0.268315018,0.166666667,0.153846154,0.450549451
AddGate_cz_inGap_16_.qasm,0.291666667,0.291666667,0.291666667,,,,,,,,,,,,
AddGate_cz_inGap_17_.qasm,0.541666667,0.541666667,0.541666667,,,,,,,,,,,,
AddGate_h_inGap_10_.qasm,0.083333333,0.083333333,0.083333333,,H,0.40625,,,,,0.411458333,,,,
AddGate_h_inGap_11_.qasm,0.75,0.75,0.75,,,,,,,,,,,,
AddGate_h_inGap_21_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_h_inGap_22_.qasm,0.583333333,0.583333333,0.583333333,,,,,,,,,,,,
AddGate_h_inGap_23_.qasm,0.166666667,0.208333333,0.1875,,,,,,,,,,,,
AddGate_h_inGap_4_.qasm,0.666666667,0.666666667,0.666666667,,,,,,,,,,,,
AddGate_h_inGap_5_.qasm,0.791666667,0.791666667,0.791666667,,,,,,,,,,,,
AddGate_h_inGap_9_.qasm,0.041666667,0.041666667,0.041666667,,,,,,,,,,,,
AddGate_rx_inGap_10_.qasm,0.166666667,0.166666667,0.166666667,,RX ,0.097222222,,,,,0.097222222,,,,
AddGate_rx_inGap_11_.qasm,0.083333333,0.083333333,0.083333333,,,,,,,,,,,,
AddGate_rx_inGap_9_.qasm,0.041666667,0.041666667,0.041666667,,,,,,,,,,,,
AddGate_rxx_inGap_12_.qasm,0.041666667,0.041666667,0.041666667,,RXX,0.183333333,,,,,0.183333333,,,,
AddGate_rxx_inGap_13_.qasm,0.083333333,0.083333333,0.083333333,,,,,,,,,,,,
AddGate_rxx_inGap_14_.qasm,0.125,0.125,0.125,,,,,,,,,,,,
AddGate_rxx_inGap_4_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_rxx_inGap_5_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_ry_inGap_12_.qasm,0.041666667,0.083333333,0.0625,,RY,0.234649123,,,,,0.24122807,,,,
AddGate_ry_inGap_13_.qasm,0.416666667,0.416666667,0.416666667,,,,,,,,,,,,
AddGate_ry_inGap_14_.qasm,0.833333333,0.833333333,0.833333333,,,,,,,,,,,,
AddGate_ry_inGap_15_.qasm,0.25,0.25,0.25,,,,,,,,,,,,
AddGate_ry_inGap_16_.qasm,0.416666667,0.416666667,0.416666667,,,,,,,,,,,,
AddGate_ry_inGap_17_.qasm,0.041666667,0.041666667,0.041666667,,,,,,,,,,,,
AddGate_ry_inGap_21_.qasm,0.125,0.125,0.125,,,,,,,,,,,,
AddGate_ry_inGap_22_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_ry_inGap_23_.qasm,0.041666667,0.083333333,0.0625,,,,,,,,,,,,
AddGate_ry_inGap_24_.qasm,0.083333333,0.083333333,0.083333333,,,,,,,,,,,,
AddGate_ry_inGap_25_.qasm,0.083333333,0.083333333,0.083333333,,,,,,,,,,,,
AddGate_ry_inGap_26_.qasm,0.041666667,0.041666667,0.041666667,,,,,,,,,,,,
AddGate_ry_inGap_27_.qasm,0.083333333,0.083333333,0.083333333,,,,,,,,,,,,
AddGate_ry_inGap_28_.qasm,0.208333333,0.25,0.229166667,,,,,,,,,,,,
AddGate_ry_inGap_4_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_ry_inGap_5_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_ry_inGap_6_.qasm,0.708333333,0.708333333,0.708333333,,,,,,,,,,,,
AddGate_ry_inGap_7_.qasm,0.083333333,0.083333333,0.083333333,,,,,,,,,,,,
AddGate_ry_inGap_8_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_rz_inGap_21_.qasm,0.541666667,0.541666667,0.541666667,,RZ,0.263888889,,,,,0.277777778,,,,
AddGate_rz_inGap_22_.qasm,0.125,0.125,0.125,,,,,,,,,,,,
AddGate_rz_inGap_23_.qasm,0.125,0.166666667,0.145833333,,,,,,,,,,,,
AddGate_swap_inGap_12_.qasm,0.375,0.375,0.375,,SWAP,0.222222222,,,,,0.222222222,,,,
AddGate_swap_inGap_13_.qasm,0.083333333,0.083333333,0.083333333,,,,,,,,,,,,
AddGate_swap_inGap_14_.qasm,0.208333333,0.208333333,0.208333333,,,,,,,,,,,,
AddGate_x_inGap_10_.qasm,0.083333333,0.083333333,0.083333333,,X,0.302631579,,,,,0.304824561,,,,
AddGate_x_inGap_11_.qasm,0.083333333,0.083333333,0.083333333,,,,,,,,,,,,
AddGate_x_inGap_12_.qasm,0.708333333,0.708333333,0.708333333,,,,,,,,,,,,
AddGate_x_inGap_13_.qasm,0.041666667,0.041666667,0.041666667,,,,,,,,,,,,
AddGate_x_inGap_14_.qasm,0.291666667,0.291666667,0.291666667,,,,,,,,,,,,
AddGate_x_inGap_1_.qasm,0.458333333,0.458333333,0.458333333,,,,,,,,,,,,
AddGate_x_inGap_24_.qasm,0.25,0.25,0.25,,,,,,,,,,,,
AddGate_x_inGap_25_.qasm,0.083333333,0.083333333,0.083333333,,,,,,,,,,,,
AddGate_x_inGap_26_.qasm,0.041666667,0.041666667,0.041666667,,,,,,,,,,,,
AddGate_x_inGap_27_.qasm,0.041666667,0.041666667,0.041666667,,,,,,,,,,,,
AddGate_x_inGap_28_.qasm,0.041666667,0.083333333,0.0625,,,,,,,,,,,,
AddGate_x_inGap_2_.qasm,0.541666667,0.541666667,0.541666667,,,,,,,,,,,,
AddGate_x_inGap_3_.qasm,0.75,0.75,0.75,,,,,,,,,,,,
AddGate_x_inGap_4_.qasm,0.291666667,0.291666667,0.291666667,,,,,,,,,,,,
AddGate_x_inGap_5_.qasm,0.875,0.875,0.875,,,,,,,,,,,,
AddGate_x_inGap_6_.qasm,0.375,0.375,0.375,,,,,,,,,,,,
AddGate_x_inGap_7_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_x_inGap_8_.qasm,0.291666667,0.291666667,0.291666667,,,,,,,,,,,,
AddGate_x_inGap_9_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_y_inGap_10_.qasm,0.125,0.125,0.125,,Y,0.255681818,,,,,0.259469697,,,,
