Program,best_exam_score,worst_exam_score,avg_exam_score,,,,,,,DStar (Perfect EXAM = 0.04167),,,,,
,,,,,,Average EXAM Best-Case By Gate,Average EXAM Best-Case Overall,Median EXAM Best-Case,% Top 1 Best-Case,% Top 3 Best-Case,Average EXAM Worst-Case By Gate,Average EXAM Worst-Case Overall,Median EXAM Worst-Case,% Top 1 Worst-Case,% Top 3 Worst-Case
AddGate_cz_inGap_15_.qasm,0.333333333,0.333333333,0.333333333,,CZ,0.361111111,0.443223443,0.416666667,0,0.021978022,0.361111111,0.443223443,0.416666667,0,0.021978022
AddGate_cz_inGap_16_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_cz_inGap_17_.qasm,0.416666667,0.416666667,0.416666667,,,,,,,,,,,,
AddGate_h_inGap_10_.qasm,0.541666667,0.541666667,0.541666667,,H,0.677083333,,,,,0.677083333,,,,
AddGate_h_inGap_11_.qasm,0.583333333,0.583333333,0.583333333,,,,,,,,,,,,
AddGate_h_inGap_21_.qasm,0.625,0.625,0.625,,,,,,,,,,,,
AddGate_h_inGap_22_.qasm,0.791666667,0.791666667,0.791666667,,,,,,,,,,,,
AddGate_h_inGap_23_.qasm,0.875,0.875,0.875,,,,,,,,,,,,
AddGate_h_inGap_4_.qasm,0.708333333,0.708333333,0.708333333,,,,,,,,,,,,
AddGate_h_inGap_5_.qasm,0.708333333,0.708333333,0.708333333,,,,,,,,,,,,
AddGate_h_inGap_9_.qasm,0.583333333,0.583333333,0.583333333,,,,,,,,,,,,
AddGate_rx_inGap_10_.qasm,0.625,0.625,0.625,,RX ,0.708333333,,,,,0.708333333,,,,
AddGate_rx_inGap_11_.qasm,0.75,0.75,0.75,,,,,,,,,,,,
AddGate_rx_inGap_9_.qasm,0.75,0.75,0.75,,,,,,,,,,,,
AddGate_rxx_inGap_12_.qasm,0.375,0.375,0.375,,RXX,0.433333333,,,,,0.433333333,,,,
AddGate_rxx_inGap_13_.qasm,0.375,0.375,0.375,,,,,,,,,,,,
AddGate_rxx_inGap_14_.qasm,0.416666667,0.416666667,0.416666667,,,,,,,,,,,,
AddGate_rxx_inGap_4_.qasm,0.458333333,0.458333333,0.458333333,,,,,,,,,,,,
AddGate_rxx_inGap_5_.qasm,0.541666667,0.541666667,0.541666667,,,,,,,,,,,,
AddGate_ry_inGap_12_.qasm,1,1,1,,RY,0.475877193,,,,,0.475877193,,,,
AddGate_ry_inGap_13_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_ry_inGap_14_.qasm,0.666666667,0.666666667,0.666666667,,,,,,,,,,,,
AddGate_ry_inGap_15_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_ry_inGap_16_.qasm,0.375,0.375,0.375,,,,,,,,,,,,
AddGate_ry_inGap_17_.qasm,0.208333333,0.208333333,0.208333333,,,,,,,,,,,,
AddGate_ry_inGap_21_.qasm,0.541666667,0.541666667,0.541666667,,,,,,,,,,,,
AddGate_ry_inGap_22_.qasm,0.083333333,0.083333333,0.083333333,,,,,,,,,,,,
AddGate_ry_inGap_23_.qasm,0.583333333,0.583333333,0.583333333,,,,,,,,,,,,
AddGate_ry_inGap_24_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_ry_inGap_25_.qasm,0.208333333,0.208333333,0.208333333,,,,,,,,,,,,
AddGate_ry_inGap_26_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_ry_inGap_27_.qasm,0.208333333,0.208333333,0.208333333,,,,,,,,,,,,
AddGate_ry_inGap_28_.qasm,0.666666667,0.666666667,0.666666667,,,,,,,,,,,,
AddGate_ry_inGap_4_.qasm,0.875,0.875,0.875,,,,,,,,,,,,
AddGate_ry_inGap_5_.qasm,0.583333333,0.583333333,0.583333333,,,,,,,,,,,,
AddGate_ry_inGap_6_.qasm,0.666666667,0.666666667,0.666666667,,,,,,,,,,,,
AddGate_ry_inGap_7_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_ry_inGap_8_.qasm,0.541666667,0.541666667,0.541666667,,,,,,,,,,,,
AddGate_rz_inGap_21_.qasm,0.333333333,0.333333333,0.333333333,,RZ,0.416666667,,,,,0.416666667,,,,
AddGate_rz_inGap_22_.qasm,0.25,0.25,0.25,,,,,,,,,,,,
AddGate_rz_inGap_23_.qasm,0.666666667,0.666666667,0.666666667,,,,,,,,,,,,
AddGate_swap_inGap_12_.qasm,0.5,0.5,0.5,,SWAP,0.416666667,,,,,0.416666667,,,,
AddGate_swap_inGap_13_.qasm,0.375,0.375,0.375,,,,,,,,,,,,
AddGate_swap_inGap_14_.qasm,0.375,0.375,0.375,,,,,,,,,,,,
AddGate_x_inGap_10_.qasm,0.333333333,0.333333333,0.333333333,,X,0.469298246,,,,,0.469298246,,,,
AddGate_x_inGap_11_.qasm,0.75,0.75,0.75,,,,,,,,,,,,
AddGate_x_inGap_12_.qasm,0.75,0.75,0.75,,,,,,,,,,,,
AddGate_x_inGap_13_.qasm,0.375,0.375,0.375,,,,,,,,,,,,
AddGate_x_inGap_14_.qasm,0.375,0.375,0.375,,,,,,,,,,,,
AddGate_x_inGap_1_.qasm,0.541666667,0.541666667,0.541666667,,,,,,,,,,,,
AddGate_x_inGap_24_.qasm,0.208333333,0.208333333,0.208333333,,,,,,,,,,,,
AddGate_x_inGap_25_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_x_inGap_26_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_x_inGap_27_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_x_inGap_28_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_x_inGap_2_.qasm,0.458333333,0.458333333,0.458333333,,,,,,,,,,,,
AddGate_x_inGap_3_.qasm,0.583333333,0.583333333,0.583333333,,,,,,,,,,,,
AddGate_x_inGap_4_.qasm,0.625,0.625,0.625,,,,,,,,,,,,
AddGate_x_inGap_5_.qasm,0.666666667,0.666666667,0.666666667,,,,,,,,,,,,
AddGate_x_inGap_6_.qasm,0.583333333,0.583333333,0.583333333,,,,,,,,,,,,
AddGate_x_inGap_7_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_x_inGap_8_.qasm,0.75,0.75,0.75,,,,,,,,,,,,
AddGate_x_inGap_9_.qasm,0.75,0.75,0.75,,,,,,,,,,,,
AddGate_y_inGap_10_.qasm,0.333333333,0.333333333,0.333333333,,Y,0.34469697,,,,,0.34469697,,,,
AddGate_y_inGap_11_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_y_inGap_18_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_y_inGap_19_.qasm,0.208333333,0.208333333,0.208333333,,,,,,,,,,,,
AddGate_y_inGap_1_.qasm,0.541666667,0.541666667,0.541666667,,,,,,,,,,,,
AddGate_y_inGap_20_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_y_inGap_21_.qasm,0.25,0.25,0.25,,,,,,,,,,,,
AddGate_y_inGap_22_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_y_inGap_23_.qasm,0.208333333,0.208333333,0.208333333,,,,,,,,,,,,
AddGate_y_inGap_24_.qasm,0.208333333,0.208333333,0.208333333,,,,,,,,,,,,
AddGate_y_inGap_25_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_y_inGap_26_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_y_inGap_27_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_y_inGap_28_.qasm,0.208333333,0.208333333,0.208333333,,,,,,,,,,,,
AddGate_y_inGap_2_.qasm,0.458333333,0.458333333,0.458333333,,,,,,,,,,,,
AddGate_y_inGap_3_.qasm,0.583333333,0.583333333,0.583333333,,,,,,,,,,,,
AddGate_y_inGap_4_.qasm,0.625,0.625,0.625,,,,,,,,,,,,
AddGate_y_inGap_5_.qasm,0.541666667,0.541666667,0.541666667,,,,,,,,,,,,
AddGate_y_inGap_6_.qasm,0.541666667,0.541666667,0.541666667,,,,,,,,,,,,
AddGate_y_inGap_7_.qasm,0.458333333,0.458333333,0.458333333,,,,,,,,,,,,
AddGate_y_inGap_8_.qasm,0.5,0.5,0.5,,,,,,,,,,,,
AddGate_y_inGap_9_.qasm,0.416666667,0.416666667,0.416666667,,,,,,,,,,,,
AddGate_z_inGap_18_.qasm,0.333333333,0.333333333,0.333333333,,Z,0.25,,,,,0.25,,,,
AddGate_z_inGap_19_.qasm,0.25,0.25,0.25,,,,,,,,,,,,
AddGate_z_inGap_20_.qasm,0.125,0.125,0.125,,,,,,,,,,,,
AddGate_z_inGap_21_.qasm,0.333333333,0.333333333,0.333333333,,,,,,,,,,,,
AddGate_z_inGap_22_.qasm,0.166666667,0.166666667,0.166666667,,,,,,,,,,,,
AddGate_z_inGap_23_.qasm,0.291666667,0.291666667,0.291666667,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Rand,Best,Worst,,,,,,,,,,,,,
0.183002913,0.333333333,0.333333333,,,,,,,,,,,,,
0.343049081,0.166666667,0.166666667,,,,,,,,,,,,,
0.341312087,0.125,0.125,,,,,,,,,,,,,
0.060515346,0.291666667,0.291666667,,,,,,,,,,,,,
0.947846069,0.25,0.25,,,,,,,,,,,,,
0.828346723,0.333333333,0.333333333,,,,,,,,,,,,,
0.156020105,,,,,,,,,,,,,,,
0.589625089,,,,,,,,,,,,,,,
0.541258237,,,,,,,,,,,,,,,
0.19325162,,,,,,,,,,,,,,,
0.759438991,,,,,,,,,,,,,,,
0.743035145,,,,,,,,,,,,,,,
0.108965805,,,,,,,,,,,,,,,
0.215854173,,,,,,,,,,,,,,,
0.419498568,,,,,,,,,,,,,,,
0.708933561,,,,,,,,,,,,,,,
0.54474821,,,,,,,,,,,,,,,
0.926143611,,,,,,,,,,,,,,,
0.568001236,,,,,,,,,,,,,,,
0.240658893,,,,,,,,,,,,,,,
0.215168371,,,,,,,,,,,,,,,
0.593735459,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,0.333333333,0.333333333,,0.476388889,0.4375,0,0.033333333,,0.476388889,0.4375,0,0.033333333,,,
,0.333333333,0.333333333,,,,,,,,,,,,,
,0.416666667,0.416666667,,,,,,,,,,,,,
,0.791666667,0.791666667,,,,,,,,,,,,,
,0.583333333,0.583333333,,,,,,,,,,,,,
,0.625,0.625,,,,,,,,,,,,,
,0.625,0.625,,,,,,,,,,,,,
,0.75,0.75,,,,,,,,,,,,,
,0.75,0.75,,,,,,,,,,,,,
,0.375,0.375,,,,,,,,,,,,,
,0.416666667,0.416666667,,,,,,,,,,,,,
,0.541666667,0.541666667,,,,,,,,,,,,,
,0.208333333,0.208333333,,,,,,,,,,,,,
,0.541666667,0.541666667,,,,,,,,,,,,,
,0.666666667,0.666666667,,,,,,,,,,,,,
,0.333333333,0.333333333,,,,,,,,,,,,,
,0.25,0.25,,,,,,,,,,,,,
,0.666666667,0.666666667,,,,,,,,,,,,,
,0.5,0.5,,,,,,,,,,,,,
,0.375,0.375,,,,,,,,,,,,,
,0.375,0.375,,,,,,,,,,,,,
,0.75,0.75,,,,,,,,,,,,,
,0.458333333,0.458333333,,,,,,,,,,,,,
,0.75,0.75,,,,,,,,,,,,,
,0.583333333,0.583333333,,,,,,,,,,,,,
,0.333333333,0.333333333,,,,,,,,,,,,,
,0.333333333,0.333333333,,,,,,,,,,,,,
,0.333333333,0.333333333,,,,,,,,,,,,,
,0.166666667,0.166666667,,,,,,,,,,,,,
,0.125,0.125,,,,,,,,,,,,,
