Program,exam_score,,,AVERAGE EXAM,,TOP 1 PERCENTAGE,,TOP 3 PERCENTAGE,,MEDIAN,,,SUBSET,,AVERAGE,,MEDIAN,,Top 1,,Top 3
AddGate_ccx_inGap_3_.qasm,0.571428571,,0.56122449,0.329962073,,0.230088496,,0.522123894,,0.214285714,,,0.928571429,,0.35978836,,0.285714286,,0.203703704,,0.425925926
AddGate_ccx_inGap_4_.qasm,0.571428571,,,,,,,,,,,,0.428571429,,,,,,,,
AddGate_ccx_inGap_5_.qasm,0.428571429,,,,,,,,,,,,0.357142857,,,,,,,,
AddGate_ccx_inGap_6_.qasm,0.428571429,,,,,,,,,,,,0.642857143,,,,,,,,
AddGate_ccx_inGap_7_.qasm,0.357142857,,,,,,,,,,,,0.428571429,,,,,,,,
AddGate_ccx_inGap_8_.qasm,0.928571429,,,,,,,,,,,,0.428571429,,,,,,,,
AddGate_ccx_inGap_9_.qasm,0.642857143,,,,,,,,,,,,0.214285714,,,,,,,,
AddGate_cswap_inGap_3_.qasm,0.428571429,,0.511904762,,,,,,,,,,0.357142857,,,,,,,,
AddGate_cswap_inGap_4_.qasm,0.142857143,,,,,,,,,,,,0.285714286,,,,,,,,
AddGate_cswap_inGap_5_.qasm,0.428571429,,,,,,,,,,,,0.142857143,,,,,,,,
AddGate_cswap_inGap_6_.qasm,0.642857143,,,,,,,,,,,,0.285714286,,,,,,,,
AddGate_cswap_inGap_7_.qasm,0.428571429,,,,,,,,,,,,0.071428571,,,,,,,,
AddGate_cswap_inGap_8_.qasm,1,,,,,,,,,,,,0.071428571,,,,,,,,
AddGate_cx_inGap_3_.qasm,0.214285714,,0.204081633,,,,,,,,,,0.071428571,,,,,,,,
AddGate_cx_inGap_4_.qasm,0.071428571,,,,,,,,,,,,0.714285714,,,,,,,,
AddGate_cx_inGap_5_.qasm,0.214285714,,,,,,,,,,,,0.785714286,,,,,,,,
AddGate_cx_inGap_6_.qasm,0.357142857,,,,,,,,,,,,0.214285714,,,,,,,,
AddGate_cx_inGap_7_.qasm,0.285714286,,,,,,RAND,EXAM,,,,,0.5,,,,,,,,
AddGate_cx_inGap_8_.qasm,0.142857143,,,,,,0.49277285,0.5,,,,,0.357142857,,,,,,,,
AddGate_cx_inGap_9_.qasm,0.142857143,,,,,,0.508321067,0.071428571,,,,,0.571428571,,,,,,,,
AddGate_cz_inGap_3_.qasm,0.285714286,,0.178571429,,,,0.048103266,0.714285714,,,,,0.214285714,,,,,,,,
AddGate_cz_inGap_4_.qasm,0.142857143,,,,,,0.901737698,0.214285714,,,,,0.071428571,,,,,,,,
AddGate_cz_inGap_5_.qasm,0.285714286,,,,,,0.23302959,0.928571429,,,,,0.071428571,,,,,,,,
AddGate_cz_inGap_6_.qasm,0.142857143,,,,,,0.515172828,0.142857143,,,,,0.071428571,,,,,,,,
AddGate_cz_inGap_7_.qasm,0.142857143,,,,,,0.823118282,,,,,,0.428571429,,,,,,,,
AddGate_cz_inGap_8_.qasm,0.071428571,,,,,,0.942953189,,,,,,0.928571429,,,,,,,,
AddGate_h_inGap_10_.qasm,0.071428571,,0.335164835,,,,0.401302327,,,,,,0.714285714,,,,,,,,
AddGate_h_inGap_11_.qasm,0.071428571,,,,,,0.478083228,,,,,,0.214285714,,,,,,,,
AddGate_h_inGap_12_.qasm,0.071428571,,,,,,0.941422703,,,,,,0.142857143,,,,,,,,
AddGate_h_inGap_13_.qasm,0.214285714,,,,,,0.172563548,,,,,,0.714285714,,,,,,,,
AddGate_h_inGap_1_.qasm,0.857142857,,,,,,0.487842646,,,,,,0.571428571,,,,,,,,
AddGate_h_inGap_2_.qasm,0.357142857,,,,,,0.525270127,,,,,,0.071428571,,,,,,,,
AddGate_h_inGap_3_.qasm,0.714285714,,,,,,0.759460653,,,,,,0.285714286,,,,,,,,
AddGate_h_inGap_4_.qasm,0.071428571,,,,,,0.815398929,,,,,,0.357142857,,,,,,,,
AddGate_h_inGap_5_.qasm,0.214285714,,,,,,0.06649013,,,,,,0.214285714,,,,,,,,
AddGate_h_inGap_6_.qasm,0.071428571,,,,,,0.431863537,,,,,,0.785714286,,,,,,,,
AddGate_h_inGap_7_.qasm,0.785714286,,,,,,0.228602089,,,,,,0.071428571,,,,,,,,
AddGate_h_inGap_8_.qasm,0.785714286,,,,,,0.176408596,,,,,,0.071428571,,,,,,,,
AddGate_h_inGap_9_.qasm,0.071428571,,,,,,0.256408242,,,,,,0.071428571,,,,,,,,
AddGate_p_inGap_3_.qasm,0.142857143,,0.297619048,,,,0.099516451,,,,,,0.285714286,,,,,,,,
AddGate_p_inGap_4_.qasm,0.214285714,,,,,,0.707830873,,,,,,0.714285714,,,,,,,,
AddGate_p_inGap_5_.qasm,0.071428571,,,,,,0.125247494,,,,,,0.214285714,,,,,,,,
AddGate_p_inGap_6_.qasm,0.5,,,,,,0.863659796,,,,,,0.857142857,,,,,,,,
AddGate_p_inGap_7_.qasm,0.785714286,,,,,,0.189760188,,,,,,0.142857143,,,,,,,,
AddGate_p_inGap_8_.qasm,0.071428571,,,,,,0.207174366,,,,,,0.285714286,,,,,,,,
AddGate_rx_inGap_1_.qasm,0.357142857,,0.380952381,,,,0.027903874,,,,,,0.214285714,,,,,,,,
AddGate_rx_inGap_2_.qasm,0.571428571,,,,,,0.790837248,,,,,,0.214285714,,,,,,,,
AddGate_rx_inGap_9_.qasm,0.214285714,,,,,,,,,,,,0.142857143,,,,,,,,
AddGate_rxx_inGap_10_.qasm,0.071428571,,0.091836735,,,,,,,,,,0.571428571,,,,,,,,
AddGate_rxx_inGap_11_.qasm,0.071428571,,,,,,,,,,,,0.285714286,,,,,,,,
AddGate_rxx_inGap_12_.qasm,0.071428571,,,,,,,,,,,,0.285714286,,,,,,,,
AddGate_rxx_inGap_13_.qasm,0.071428571,,,,,,,,,,,,0.5,,,,,,,,
AddGate_rxx_inGap_1_.qasm,0.071428571,,,,,,,,,,,,0.071428571,,,,,,,,
AddGate_rxx_inGap_2_.qasm,0.214285714,,,,,,,,,,,,0.714285714,,,,,,,,
AddGate_rxx_inGap_9_.qasm,0.071428571,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_1_.qasm,0.5,,0.507936508,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_2_.qasm,0.214285714,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_3_.qasm,0.714285714,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_4_.qasm,0.142857143,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_5_.qasm,0.5,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_6_.qasm,0.214285714,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_7_.qasm,0.928571429,,,,,,,,,,,,,,,,,,,,
