Program,exam_score,,AVERAGES BY GATE,,,OVERALL AVERAGE,,,PERFECT IDENTIFICATION SCORE,,TOP-3 IDENTIFICATION SCORE,,MEDIAN,,,,SUBSET,,AVERAGE,,MEDIAN,,Top 1,,Top 3
AddGate_ccx_inGap_10_.qasm,0.5,,0.666666667,,,0.331460674,,,0.505617978,,0.887640449,,0.166666667,,,,1,,0.378787879,,0.166666667,,0.515151515,,0.818181818
AddGate_ccx_inGap_3_.qasm,0.5,,,,,,,,,,,,,,,,0.5,,,,,,,,
AddGate_ccx_inGap_4_.qasm,1,,,,,,,,,,,,,,,,0.5,,,,,,,,
AddGate_ccx_inGap_5_.qasm,0.833333333,,,,,,,,,,,,,,,,1,,,,,,,,
AddGate_ccx_inGap_6_.qasm,1,,,,,,,,,,,,,,,,1,,,,,,,,
AddGate_ccx_inGap_7_.qasm,0.5,,,,,,,,,,,,,,,,1,,,,,,,,
AddGate_ccx_inGap_8_.qasm,0.5,,,,,,,,,,,,,,,,0.5,,,,,,,,
AddGate_ccx_inGap_9_.qasm,0.5,,,,,,,,,,,,,,,,0.166666667,,,,,,,,
AddGate_cswap_inGap_3_.qasm,1,,1,,,,,,,,,,,,,,0.166666667,,,,,,,,
AddGate_cswap_inGap_4_.qasm,1,,,,,,,,,,,,,,,,0.333333333,,,,,,,,
AddGate_cswap_inGap_5_.qasm,1,,,,,,,,,,,,,,,,0.666666667,,,,,,,,
AddGate_cx_inGap_10_.qasm,0.333333333,,0.296296296,,,,,,,,,,,,,,0.166666667,,,,,,,,
AddGate_cx_inGap_2_.qasm,0.166666667,,,,,,,,,,,,,,,,0.333333333,,,,,,,,
AddGate_cx_inGap_3_.qasm,0.166666667,,,,,,,,,,,,,,,,0.5,,,,,,,,
AddGate_cx_inGap_4_.qasm,0.5,,,,,,,,,,,,,,,,0.166666667,,,,,,,,
AddGate_cx_inGap_5_.qasm,0.333333333,,,,,,,,,,,,,,,,0.333333333,,,,,,,,
AddGate_cx_inGap_6_.qasm,0.666666667,,,,,,,,,RAND,EXAM,,,,,,0.166666667,,,,,,,,
AddGate_cx_inGap_7_.qasm,0.166666667,,,,,,,,,0.596486762,0.166666667,,,,,,0.166666667,,,,,,,,
AddGate_cx_inGap_8_.qasm,0.166666667,,,,,,,,,0.684018401,0.5,,,,,,0.5,,,,,,,,
AddGate_cx_inGap_9_.qasm,0.333333333,,,,,,,,,0.374872742,0.166666667,,,,,,0.666666667,,,,,,,,
AddGate_h_inGap_10_.qasm,0.166666667,,0.316666667,,,,,,,0.355954161,0.166666667,,,,,,0.333333333,,,,,,,,
AddGate_h_inGap_1_.qasm,0.333333333,,,,,,,,,0.254088267,0.333333333,,,,,,0.166666667,,,,,,,,
AddGate_h_inGap_2_.qasm,0.333333333,,,,,,,,,0.810625905,0.5,,,,,,0.166666667,,,,,,,,
AddGate_h_inGap_3_.qasm,0.666666667,,,,,,,,,0.161203475,0.166666667,,,,,,0.166666667,,,,,,,,
AddGate_h_inGap_4_.qasm,0.333333333,,,,,,,,,0.167041259,0.166666667,,,,,,0.166666667,,,,,,,,
AddGate_h_inGap_5_.qasm,0.333333333,,,,,,,,,0.30615449,0.333333333,,,,,,0.166666667,,,,,,,,
AddGate_h_inGap_6_.qasm,0.166666667,,,,,,,,,0.477070584,,,,,,,0.166666667,,,,,,,,
AddGate_h_inGap_7_.qasm,0.333333333,,,,,,,,,0.870889448,,,,,,,0.166666667,,,,,,,,
AddGate_h_inGap_8_.qasm,0.333333333,,,,,,,,,0.017411043,,,,,,,0.166666667,,,,,,,,
AddGate_h_inGap_9_.qasm,0.166666667,,,,,,,,,0.984945012,,,,,,,0.166666667,,,,,,,,
AddGate_rx_inGap_10_.qasm,0.5,,0.25,,,,,,,0.067207043,,,,,,,0.166666667,,,,,,,,
AddGate_rx_inGap_2_.qasm,0.166666667,,,,,,,,,0.847299692,,,,,,,0.5,,,,,,,,
AddGate_rx_inGap_3_.qasm,0.333333333,,,,,,,,,0.566280085,,,,,,,0.166666667,,,,,,,,
AddGate_rx_inGap_4_.qasm,0.333333333,,,,,,,,,0.875996673,,,,,,,,,,,,,,,
AddGate_rx_inGap_5_.qasm,0.333333333,,,,,,,,,0.320382212,,,,,,,,,,,,,,,
AddGate_rx_inGap_6_.qasm,0.333333333,,,,,,,,,0.906126623,,,,,,,,,,,,,,,
AddGate_rx_inGap_7_.qasm,0.166666667,,,,,,,,,0.675817791,,,,,,,,,,,,,,,
AddGate_rx_inGap_8_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_rx_inGap_9_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_10_.qasm,0.166666667,,0.216666667,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_1_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_2_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_3_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_4_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_5_.qasm,0.5,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_6_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_7_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_8_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_9_.qasm,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_10_.qasm,0.166666667,,0.37037037,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_2_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_3_.qasm,0.5,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_4_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_5_.qasm,0.666666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_6_.qasm,0.5,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_7_.qasm,0.666666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_8_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_9_.qasm,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_swap_inGap_2_.qasm,0.166666667,,0.166666667,,,,,,,,,,,,,,,,,,,,,,
AddGate_swap_inGap_3_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_swap_inGap_4_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_swap_inGap_5_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_sx_inGap_10_.qasm,0.166666667,,0.259259259,,,,,,,,,,,,,,,,,,,,,,
AddGate_sx_inGap_2_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_sx_inGap_3_.qasm,0.5,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_sx_inGap_4_.qasm,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_sx_inGap_5_.qasm,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_sx_inGap_6_.qasm,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_sx_inGap_7_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_sx_inGap_8_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_sx_inGap_9_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_10_.qasm,0.166666667,,0.185185185,,,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_2_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_3_.qasm,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_4_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_5_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_6_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_7_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_8_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_9_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_10_.qasm,0.166666667,,0.277777778,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_2_.qasm,0.5,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_3_.qasm,0.5,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_4_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_5_.qasm,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_6_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_7_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_8_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_9_.qasm,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,
