Program,exam_score,,,AVERAGE,,MEDIAN,,Top 1,,Top 3,,,,,,,SUBSET,,AVERAGE,,MEDIAN,,Top 1,,Top 3
AddGate_cswap_inGap_3_.qasm,0.277777778,,0.574074074,0.371212121,,0.333333333,,0.272727273,,0.434782609,,,,,,,0.277777778,,0.509259259,,0.527777778,,0.083333333,,0.25
AddGate_cswap_inGap_4_.qasm,0.611111111,,,,,,,,,,,,,,,,0.611111111,,,,,,,,
AddGate_cswap_inGap_5_.qasm,0.833333333,,,,,,,,,,,RAND,AVG,,,,0.833333333,,,,,,,,
AddGate_h_inGap_10_.qasm,0.055555556,,0.268518519,,,,,,,,,0.135191853,0.388888889,,,,0.777777778,,,,,,,,
AddGate_h_inGap_11_.qasm,0.111111111,,,,,,,,,,,0.213465245,0.666666667,,,,0.444444444,,,,,,,,
AddGate_h_inGap_12_.qasm,0.055555556,,,,,,,,,,,0.602356538,0.888888889,,,,0.055555556,,,,,,,,
AddGate_h_inGap_1_.qasm,0.722222222,,,,,,,,,,,0.938176788,0.111111111,,,,0.888888889,,,,,,,,
AddGate_h_inGap_2_.qasm,0.444444444,,,,,,,,,,,,,,,,0.166666667,,,,,,,,
AddGate_h_inGap_3_.qasm,0.444444444,,,,,,,,,,,,,,,,0.111111111,,,,,,,,
AddGate_h_inGap_4_.qasm,0.388888889,,,,,,,,,,,,,,,,0.388888889,,,,,,,,
AddGate_h_inGap_5_.qasm,0.055555556,,,,,,,,,,,,,,,,0.666666667,,,,,,,,
AddGate_h_inGap_6_.qasm,0.777777778,,,,,,,,,,,,,,,,0.888888889,,,,,,,,
AddGate_h_inGap_7_.qasm,0.055555556,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_h_inGap_8_.qasm,0.055555556,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_h_inGap_9_.qasm,0.055555556,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_1_.qasm,0.888888889,,0.388888889,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_4_.qasm,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_5_.qasm,0.111111111,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_swap_inGap_2_.qasm,0.388888889,,0.513888889,,,,,,,,,,,,,,,,,,,,,,
AddGate_swap_inGap_3_.qasm,0.111111111,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_swap_inGap_4_.qasm,0.888888889,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_swap_inGap_5_.qasm,0.666666667,,,,,,,,,,,,,,,,,,,,,,,,
