Program,exam_score,,AVERAGE,AVERAGE BY GATE,MEDIAN,TOP 1 PERCENTAGE,TOP 3 PERCENTAGE,,,,,,,SUBSET,,AVERAGE,,MEDIAN,,Top 1,,Top 3
AddGate_ccx_inGap_6_.qasm,0.772727273,,0.262923351,0.772727273,0.136363636,0.235294118,0.529411765,,,,,,,0.772727273,,0.301515152,,0.159090909,,0.166666667,,0.5
AddGate_cswap_inGap_11_.qasm,0.818181818,,,0.795454545,,,,,,,,,,0.818181818,,,,,,,,
AddGate_cswap_inGap_6_.qasm,0.772727273,,,,,,,,,,,,,0.772727273,,,,,,,,
AddGate_cx_inGap_6_.qasm,0.227272727,,,0.227272727,,,,,,,,,,0.227272727,,,,,,,,
AddGate_cz_inGap_10_.qasm,0.227272727,,,0.318181818,,,,,,,,,,0.227272727,,,,,,,,
AddGate_cz_inGap_11_.qasm,0.409090909,,,,,,,,,,,,,0.409090909,,,,,,,,
AddGate_h_inGap_11_.qasm,0.090909091,,,0.090909091,,,,,,,,,,0.090909091,,,,,,,,
AddGate_p_inGap_10_.qasm,0.045454545,,,0.113636364,,,,,,,,,,0.045454545,,,,,,,,
AddGate_p_inGap_11_.qasm,0.181818182,,,,,,,,,,,,,0.181818182,,,,,,,,
AddGate_rxx_inGap_11_.qasm,0.045454545,,,0.045454545,,,,,,,,,,0.045454545,,,,,,,,
AddGate_ry_inGap_11_.qasm,0.090909091,,,0.113636364,,,,,,,,,,0.090909091,,,,,,,,
AddGate_ry_inGap_6_.qasm,0.136363636,,,,,,,,,,,,,0.136363636,,,,,,,,
AddGate_rz_inGap_10_.qasm,0.136363636,,,0.106060606,,,,,,,,,,0.136363636,,,,,,,,
AddGate_rz_inGap_11_.qasm,0.136363636,,,,,,,,,,,,,0.136363636,,,,,,,,
AddGate_rz_inGap_6_.qasm,0.045454545,,,,,,,,,RAND,EXAM,,,0.045454545,,,,,,,,
AddGate_rzz_inGap_10_.qasm,0.045454545,,,0.166666667,,,,,,0.315487712,0.090909091,,,0.045454545,,,,,,,,
AddGate_rzz_inGap_11_.qasm,0.136363636,,,,,,,,,0.290829557,0.181818182,,,0.136363636,,,,,,,,
AddGate_rzz_inGap_6_.qasm,0.318181818,,,,,,,,,0.378369677,0.818181818,,,0.318181818,,,,,,,,
AddGate_s_inGap_11_.qasm,0.818181818,,,0.818181818,,,,,,0.319691856,0.136363636,,,0.818181818,,,,,,,,
AddGate_swap_inGap_10_.qasm,0.045454545,,,0.068181818,,,,,,0.321090561,0.409090909,,,0.045454545,,,,,,,,
AddGate_swap_inGap_11_.qasm,0.090909091,,,,,,,,,0.440603949,0.5,,,0.090909091,,,,,,,,
AddGate_x_inGap_12_.qasm,0.090909091,,,0.204545455,,,,,,0.951496639,,,,0.090909091,,,,,,,,
AddGate_x_inGap_13_.qasm,0.045454545,,,,,,,,,0.541934047,,,,0.409090909,,,,,,,,
AddGate_x_inGap_14_.qasm,0.045454545,,,,,,,,,0.672919897,,,,0.363636364,,,,,,,,
AddGate_x_inGap_15_.qasm,0.090909091,,,,,,,,,0.625156101,,,,0.136363636,,,,,,,,
AddGate_x_inGap_16_.qasm,0.636363636,,,,,,,,,0.135515585,,,,0.590909091,,,,,,,,
AddGate_x_inGap_1_.qasm,0.181818182,,,,,,,,,0.976941487,,,,0.772727273,,,,,,,,
AddGate_x_inGap_2_.qasm,0.363636364,,,,,,,,,0.789425751,,,,0.090909091,,,,,,,,
AddGate_x_inGap_3_.qasm,0.409090909,,,,,,,,,0.107593056,,,,0.181818182,,,,,,,,
AddGate_x_inGap_4_.qasm,0.090909091,,,,,,,,,0.971924958,,,,0.818181818,,,,,,,,
AddGate_x_inGap_5_.qasm,0.090909091,,,,,,,,,0.69300586,,,,,,,,,,,,
AddGate_y_inGap_10_.qasm,0.227272727,,,0.25974026,,,,,,0.15378994,,,,,,,,,,,,
AddGate_y_inGap_11_.qasm,0.272727273,,,,,,,,,0.131596207,,,,,,,,,,,,
AddGate_y_inGap_12_.qasm,0.045454545,,,,,,,,,0.0372934,,,,,,,,,,,,
AddGate_y_inGap_13_.qasm,0.045454545,,,,,,,,,0.656321089,,,,,,,,,,,,
AddGate_y_inGap_14_.qasm,0.045454545,,,,,,,,,0.187861497,,,,,,,,,,,,
AddGate_y_inGap_15_.qasm,0.136363636,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_16_.qasm,0.045454545,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_1_.qasm,0.590909091,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_2_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_3_.qasm,0.318181818,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_4_.qasm,0.590909091,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_5_.qasm,0.136363636,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_6_.qasm,0.045454545,,,,,,,,,,,,,,,,,,,,,
