Program,exam_score,,,AVERAGE,,MEDIAN,,Top 1 Percentage,,Top 3 Percentage,,,,,,,SUBSET,,AVERAGE,,MEDIAN,,Top 1,,Top 3
AddGate_ccx_inGap_6_.qasm,0.772727273,,0.409090909,0.254545455,,0.181818182,,0.2125,,0.475,,,,,,,0.772727273,,0.274891775,,0.181818182,,0.095238095,,0.404761905
AddGate_ccx_inGap_7_.qasm,0.181818182,,,,,,,,,,,,,,,,0.181818182,,,,,,,,
AddGate_ccx_inGap_8_.qasm,0.272727273,,,,,,,,,,,,,,,,0.272727273,,,,,,,,
AddGate_cswap_inGap_11_.qasm,1,,0.666666667,,,,,,,,,,,,,,1,,,,,,,,
AddGate_cswap_inGap_6_.qasm,0.5,,,,,,,,,,,,,,,,0.5,,,,,,,,
AddGate_cswap_inGap_9_.qasm,0.5,,,,,,,,,,,,,,,,0.5,,,,,,,,
AddGate_cx_inGap_6_.qasm,0.090909091,,0.303030303,,,,,,,,,,,,,,0.090909091,,,,,,,,
AddGate_cx_inGap_7_.qasm,0.227272727,,,,,,,,,,,,,,,,0.227272727,,,,,,,,
AddGate_cx_inGap_8_.qasm,0.590909091,,,,,,,,,,,,,,,,0.590909091,,,,,,,,
AddGate_cz_inGap_10_.qasm,0.272727273,,0.492424242,,,,,,,,,,,,,,0.272727273,,,,,,,,
AddGate_cz_inGap_11_.qasm,0.227272727,,,,,,,,,,,RAND,EXAM,,,,0.227272727,,,,,,,,
AddGate_cz_inGap_6_.qasm,0.590909091,,,,,,,,,,,0.763468924,0.090909091,,,,0.272727273,,,,,,,,
AddGate_cz_inGap_7_.qasm,0.727272727,,,,,,,,,,,0.508126282,0.227272727,,,,0.363636364,,,,,,,,
AddGate_cz_inGap_8_.qasm,0.863636364,,,,,,,,,,,0.089594681,0.181818182,,,,0.090909091,,,,,,,,
AddGate_cz_inGap_9_.qasm,0.272727273,,,,,,,,,,,0.400763899,0.363636364,,,,0.5,,,,,,,,
AddGate_h_inGap_10_.qasm,0.318181818,,0.263636364,,,,,,,,,0.909584827,0.045454545,,,,0.090909091,,,,,,,,
AddGate_h_inGap_11_.qasm,0.045454545,,,,,,,,,,,0.656576179,0.090909091,,,,0.181818182,,,,,,,,
AddGate_h_inGap_1_.qasm,0.363636364,,,,,,,,,,,0.578403402,,,,,0.090909091,,,,,,,,
AddGate_h_inGap_2_.qasm,0.5,,,,,,,,,,,0.266695239,,,,,0.045454545,,,,,,,,
AddGate_h_inGap_9_.qasm,0.090909091,,,,,,,,,,,0.335323866,,,,,0.045454545,,,,,,,,
AddGate_p_inGap_10_.qasm,0.090909091,,0.121212121,,,,,,,,,0.479661899,,,,,0.136363636,,,,,,,,
AddGate_p_inGap_11_.qasm,0.181818182,,,,,,,,,,,0.014398738,,,,,0.272727273,,,,,,,,
AddGate_p_inGap_9_.qasm,0.090909091,,,,,,,,,,,0.604259963,,,,,0.181818182,,,,,,,,
AddGate_rx_inGap_12_.qasm,0.045454545,,0.090909091,,,,,,,,,0.414101966,,,,,0.045454545,,,,,,,,
AddGate_rx_inGap_13_.qasm,0.045454545,,,,,,,,,,,0.705377224,,,,,0.045454545,,,,,,,,
AddGate_rx_inGap_14_.qasm,0.136363636,,,,,,,,,,,0.767601514,,,,,0.090909091,,,,,,,,
AddGate_rx_inGap_15_.qasm,0.181818182,,,,,,,,,,,0.866913849,,,,,0.090909091,,,,,,,,
AddGate_rx_inGap_16_.qasm,0.045454545,,,,,,,,,,,0.43668528,,,,,0.136363636,,,,,,,,
AddGate_rxx_inGap_10_.qasm,0.227272727,,0.21875,,,,,,,,,0.657919295,,,,,0.227272727,,,,,,,,
AddGate_rxx_inGap_11_.qasm,0.045454545,,,,,,,,,,,0.573595951,,,,,0.090909091,,,,,,,,
AddGate_rxx_inGap_12_.qasm,0.045454545,,,,,,,,,,,0.779818093,,,,,0.136363636,,,,,,,,
AddGate_rxx_inGap_13_.qasm,0.545454545,,,,,,,,,,,0.561400317,,,,,0.681818182,,,,,,,,
AddGate_rxx_inGap_14_.qasm,0.045454545,,,,,,,,,,,0.10212704,,,,,0.954545455,,,,,,,,
AddGate_rxx_inGap_15_.qasm,0.045454545,,,,,,,,,,,0.08079597,,,,,0.181818182,,,,,,,,
AddGate_rxx_inGap_16_.qasm,0.045454545,,,,,,,,,,,0.368180169,,,,,0.090909091,,,,,,,,
AddGate_rxx_inGap_1_.qasm,0.045454545,,,,,,,,,,,0.313996649,,,,,0.227272727,,,,,,,,
AddGate_rxx_inGap_2_.qasm,0.090909091,,,,,,,,,,,0.672082757,,,,,0.181818182,,,,,,,,
AddGate_rxx_inGap_3_.qasm,0.272727273,,,,,,,,,,,0.474705833,,,,,0.136363636,,,,,,,,
AddGate_rxx_inGap_4_.qasm,0.136363636,,,,,,,,,,,0.115381837,,,,,0.727272727,,,,,,,,
AddGate_rxx_inGap_5_.qasm,0.181818182,,,,,,,,,,,,,,,,0.090909091,,,,,,,,
AddGate_rxx_inGap_6_.qasm,0.181818182,,,,,,,,,,,,,,,,0.181818182,,,,,,,,
AddGate_rxx_inGap_7_.qasm,0.818181818,,,,,,,,,,,,,,,,0.318181818,,,,,,,,
AddGate_rxx_inGap_8_.qasm,0.5,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_9_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_10_.qasm,0.045454545,,0.095454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_11_.qasm,0.090909091,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_12_.qasm,0.045454545,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_13_.qasm,0.045454545,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_14_.qasm,0.045454545,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_15_.qasm,0.045454545,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_16_.qasm,0.090909091,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_1_.qasm,0.318181818,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_2_.qasm,0.136363636,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_9_.qasm,0.090909091,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_10_.qasm,0.136363636,,0.151515152,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_11_.qasm,0.227272727,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_6_.qasm,0.090909091,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_10_.qasm,0.681818182,,0.462121212,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_11_.qasm,0.136363636,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_6_.qasm,0.318181818,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_7_.qasm,0.954545455,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_8_.qasm,0.045454545,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_9_.qasm,0.636363636,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_s_inGap_11_.qasm,0.181818182,,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_swap_inGap_10_.qasm,0.090909091,,0.166666667,,,,,,,,,,,,,,,,,,,,,,
AddGate_swap_inGap_11_.qasm,0.227272727,,,,,,,,,,,,,,,,,,,,,,,,
AddGate_swap_inGap_6_.qasm,0.045454545,,,,,,,,,,,,,,,,,,,,,,,,
