Program,exam_score,,AVERAGE BY GATE,,AVERAGE,,MEDIAN,,TOP 1,,TOP 3,,,,,SUBSET,,AVERAGE,,MEDIAN,,Top 1,,Top 3
AddGate_h_inGap_26_.qasm,0.509803922,,0.401384083,,0.385568627,,0.31372549,,0.104,,0.192,,,,,0.078431373,,0.304575163,,0.117647059,,0.066666667,,0.333333333
AddGate_h_inGap_27_.qasm,0.156862745,,,,,,,,,,,,,,,0.921568627,,,,,,,,
AddGate_h_inGap_28_.qasm,0.156862745,,,,,,,,,,,,,,,0.725490196,,,,,,,,
AddGate_h_inGap_29_.qasm,0.843137255,,,,,,,,,,,,,,,0.039215686,,,,,,,,
AddGate_h_inGap_30_.qasm,0.745098039,,,,,,,,,,,,,,,0.078431373,,,,,,,,
AddGate_h_inGap_31_.qasm,0.470588235,,,,,,,,,,,,,,,0.274509804,,,,,,,,
AddGate_h_inGap_37_.qasm,0.196078431,,,,,,,,,,,,,,,0.921568627,,,,,,,,
AddGate_h_inGap_38_.qasm,0.921568627,,,,,,,,,,,,,,,0.549019608,,,,,,,,
AddGate_h_inGap_39_.qasm,0.921568627,,,,,,,,,,,,,,,0.058823529,,,,,,,,
AddGate_h_inGap_40_.qasm,0.019607843,,,,,,,,,,,,,,,0.117647059,,,,,,,,
AddGate_h_inGap_41_.qasm,0.725490196,,,,,,,,,,,,,,,0.058823529,,,,,,,,
AddGate_h_inGap_42_.qasm,0.215686275,,,,,,,,,,,,,,,0.019607843,,,,,,,,
AddGate_h_inGap_43_.qasm,0.588235294,,,,,,,,,,,,,,,0.039215686,,,,,,,,
AddGate_h_inGap_44_.qasm,0.156862745,,,,,,,,,,,,,,,0.235294118,,,,,,,,
AddGate_h_inGap_45_.qasm,0.078431373,,,,,,,,,,,,,,,0.450980392,,,,,,,,
AddGate_h_inGap_46_.qasm,0.078431373,,,,,,,,,,,,,,,,,,,,,,,
AddGate_h_inGap_47_.qasm,0.039215686,,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_1_.qasm,0.509803922,,0.297794118,,,,,,RAND,EXAM,,,,,,,,,,,,,,
AddGate_ry_inGap_2_.qasm,0.039215686,,,,,,,,0.053926289,0.039215686,,,,,,,,,,,,,,
AddGate_ry_inGap_32_.qasm,0.784313725,,,,,,,,0.997208684,0.235294118,,,,,,,,,,,,,,
AddGate_ry_inGap_33_.qasm,0.666666667,,,,,,,,0.04427855,0.450980392,,,,,,,,,,,,,,
AddGate_ry_inGap_34_.qasm,0.274509804,,,,,,,,0.329945062,0.078431373,,,,,,,,,,,,,,
AddGate_ry_inGap_35_.qasm,0.843137255,,,,,,,,0.796729487,0.215686275,,,,,,,,,,,,,,
AddGate_ry_inGap_36_.qasm,0.921568627,,,,,,,,0.95861593,0.745098039,,,,,,,,,,,,,,
AddGate_ry_inGap_3_.qasm,0.078431373,,,,,,,,0.503548926,,,,,,,,,,,,,,,
AddGate_ry_inGap_48_.qasm,0.019607843,,,,,,,,0.033737583,,,,,,,,,,,,,,,
AddGate_ry_inGap_49_.qasm,0.019607843,,,,,,,,0.869933399,,,,,,,,,,,,,,,
AddGate_ry_inGap_50_.qasm,0.31372549,,,,,,,,0.331541331,,,,,,,,,,,,,,,
AddGate_ry_inGap_51_.qasm,0.039215686,,,,,,,,0.642840582,,,,,,,,,,,,,,,
AddGate_ry_inGap_52_.qasm,0.039215686,,,,,,,,0.171553685,,,,,,,,,,,,,,,
AddGate_ry_inGap_53_.qasm,0.078431373,,,,,,,,0.874570326,,,,,,,,,,,,,,,
AddGate_ry_inGap_54_.qasm,0.019607843,,,,,,,,0.670380859,,,,,,,,,,,,,,,
