Program,path_to_mutant,exam_score
AddGate_z_inGap_20_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.041666666666666664
AddGate_ry_inGap_17_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.08333333333333333
AddGate_y_inGap_26_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.625
AddGate_y_inGap_20_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.041666666666666664
AddGate_ry_inGap_16_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.2916666666666667
AddGate_x_inGap_7_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.375
AddGate_h_inGap_9_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.375
AddGate_ry_inGap_14_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.6666666666666666
AddGate_cz_inGap_15_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.20833333333333334
AddGate_rxx_inGap_13_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.08333333333333333
AddGate_x_inGap_24_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.2916666666666667
AddGate_y_inGap_7_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.041666666666666664
AddGate_x_inGap_1_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.5
AddGate_y_inGap_11_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.16666666666666666
AddGate_x_inGap_2_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.4583333333333333
AddGate_x_inGap_25_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.08333333333333333
AddGate_rx_inGap_9_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.041666666666666664
AddGate_ry_inGap_12_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.08333333333333333
AddGate_z_inGap_22_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.041666666666666664
AddGate_cz_inGap_16_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.20833333333333334
AddGate_ry_inGap_25_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.125
AddGate_ry_inGap_22_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.20833333333333334
AddGate_y_inGap_22_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.041666666666666664
AddGate_ry_inGap_27_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.08333333333333333
AddGate_ry_inGap_4_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.20833333333333334
AddGate_rz_inGap_22_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.16666666666666666
AddGate_rx_inGap_10_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.125
AddGate_cz_inGap_17_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.375
AddGate_y_inGap_2_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.4583333333333333
AddGate_rxx_inGap_5_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.25
AddGate_ry_inGap_24_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.08333333333333333
AddGate_y_inGap_21_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.625
AddGate_x_inGap_3_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.6666666666666666
AddGate_x_inGap_14_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.25
AddGate_h_inGap_21_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.125
AddGate_ry_inGap_8_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.5
AddGate_z_inGap_21_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.16666666666666666
AddGate_ry_inGap_23_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.041666666666666664
AddGate_y_inGap_25_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.041666666666666664
AddGate_swap_inGap_12_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.5
AddGate_y_inGap_19_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.125
AddGate_ry_inGap_7_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.20833333333333334
AddGate_ry_inGap_28_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.16666666666666666
AddGate_h_inGap_22_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.625
AddGate_x_inGap_12_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.7083333333333334
AddGate_h_inGap_23_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.16666666666666666
AddGate_y_inGap_18_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.16666666666666666
AddGate_x_inGap_28_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.041666666666666664
AddGate_x_inGap_8_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.25
AddGate_rxx_inGap_12_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.041666666666666664
AddGate_h_inGap_4_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.75
AddGate_ry_inGap_6_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.5416666666666666
AddGate_y_inGap_28_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.75
AddGate_y_inGap_6_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.20833333333333334
AddGate_ry_inGap_13_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.4583333333333333
AddGate_rz_inGap_23_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.125
AddGate_rx_inGap_11_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.08333333333333333
AddGate_z_inGap_18_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.041666666666666664
AddGate_x_inGap_10_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.08333333333333333
AddGate_x_inGap_11_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.08333333333333333
AddGate_y_inGap_3_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.7083333333333334
AddGate_y_inGap_27_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.08333333333333333
AddGate_h_inGap_5_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.20833333333333334
AddGate_y_inGap_8_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_vqe_5_qubits/,0.125
