Program,path_to_mutant,exam_score
AddGate_z_inGap_20_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.038461538461538464
AddGate_z_inGap_17_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.11538461538461539
AddGate_z_inGap_15_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.038461538461538464
AddGate_sx_inGap_18_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.7692307692307693
AddGate_ry_inGap_17_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.2692307692307692
AddGate_y_inGap_26_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.038461538461538464
AddGate_ry_inGap_10_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.23076923076923078
AddGate_cswap_inGap_23_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.7307692307692307
AddGate_ry_inGap_19_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.038461538461538464
AddGate_rx_inGap_29_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.038461538461538464
AddGate_t_inGap_24_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.19230769230769232
AddGate_y_inGap_20_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.07692307692307693
AddGate_swap_inGap_19_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.038461538461538464
AddGate_ry_inGap_16_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.2692307692307692
AddGate_rz_inGap_14_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.038461538461538464
AddGate_ccx_inGap_15_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.9615384615384616
AddGate_ccx_inGap_18_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.6923076923076923
AddGate_rxx_inGap_16_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.6153846153846154
AddGate_rx_inGap_18_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.23076923076923078
AddGate_rz_inGap_16_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.23076923076923078
AddGate_h_inGap_9_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.11538461538461539
AddGate_cx_inGap_22_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.2692307692307692
AddGate_ry_inGap_18_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.11538461538461539
AddGate_rxx_inGap_21_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.34615384615384615
AddGate_ry_inGap_9_.qasm,SBFL_circuits/QMutBenchMutants/Mutants_qaoa_5_qubits/,0.46153846153846156
